year	engin	activ	gener	deform	polit	machin	fundament	tecton	sens	futur	percept	genom	nativ	silic
1970	11.6666666667	11.6666666667	7.66666666667	4.33333333333	3.33333333333	3.66666666667	2.33333333333	1.66666666667	2.33333333333	2.33333333333	1.33333333333	1.33333333333	1.0	2.33333333333
1971	17.0	17.6666666667	12.3333333333	6.0	4.0	3.66666666667	3.33333333333	5.33333333333	3.33333333333	3.33333333333	2.33333333333	1.66666666667	1.33333333333	2.66666666667
1972	24.3333333333	28.0	26.6666666667	8.0	7.0	5.33333333333	7.0	9.0	4.0	4.66666666667	3.33333333333	2.66666666667	1.66666666667	5.33333333333
1973	35.0	37.0	33.0	11.3333333333	8.33333333333	6.33333333333	10.0	16.0	4.33333333333	6.0	4.0	4.0	2.33333333333	6.0
1974	55.0	49.0	44.3333333333	15.0	12.0	8.0	17.3333333333	16.3333333333	6.33333333333	7.33333333333	7.0	4.33333333333	2.33333333333	10.0
1975	89.3333333333	62.3333333333	45.3333333333	20.0	15.6666666667	10.3333333333	23.0	20.3333333333	7.33333333333	8.66666666667	8.66666666667	5.0	3.0	9.33333333333
1976	122.666666667	68.0	59.6666666667	22.3333333333	19.3333333333	10.3333333333	26.6666666667	21.0	8.33333333333	10.6666666667	11.3333333333	5.33333333333	3.66666666667	10.6666666667
1977	175.666666667	76.0	70.0	20.6666666667	24.0	10.6666666667	27.0	28.0	9.0	9.66666666667	13.6666666667	6.66666666667	4.66666666667	10.0
1978	173.666666667	87.0	73.3333333333	20.6666666667	27.0	9.0	28.6666666667	31.0	9.0	7.66666666667	18.0	6.0	5.0	11.6666666667
1979	154.666666667	100.0	72.0	20.3333333333	27.6666666667	8.66666666667	27.0	32.6666666667	10.6666666667	4.0	18.0	4.66666666667	5.0	12.6666666667
1980	143.666666667	102.0	64.6666666667	22.6666666667	25.0	11.3333333333	26.0	33.6666666667	11.3333333333	4.0	14.3333333333	4.0	4.33333333333	12.3333333333
1981	151.333333333	100.333333333	62.6666666667	22.6666666667	25.0	14.0	25.0	34.3333333333	15.0	3.33333333333	12.0	5.0	3.66666666667	13.3333333333
1982	178.666666667	95.6666666667	61.0	24.0	27.3333333333	16.3333333333	30.3333333333	37.3333333333	15.3333333333	7.33333333333	13.6666666667	6.66666666667	4.33333333333	11.6666666667
