year	colorado	florida	arizona	minnesota	houston	denver	miami	phoenix	tampa
1970	1.66666666667	2.0	1.33333333333	1.0	1.0	1.0	1.0	1.0	1.0
1971	2.0	2.0	1.33333333333	1.66666666667	1.0	1.0	1.0	1.0	1.0
1972	3.0	2.33333333333	2.0	1.66666666667	1.0	1.0	1.0	1.0	1.0
1973	4.66666666667	2.66666666667	3.66666666667	3.0	1.33333333333	1.33333333333	1.33333333333	1.0	1.0
1974	7.33333333333	3.33333333333	4.66666666667	3.66666666667	1.66666666667	1.33333333333	1.33333333333	1.33333333333	1.0
1975	10.6666666667	6.33333333333	6.0	4.33333333333	2.0	1.66666666667	1.33333333333	1.33333333333	1.33333333333
1976	14.0	9.0	5.66666666667	5.0	2.66666666667	2.33333333333	1.0	1.33333333333	1.33333333333
1977	15.3333333333	13.3333333333	7.0	5.33333333333	3.66666666667	2.66666666667	1.33333333333	1.0	3.66666666667
1978	12.6666666667	13.0	7.0	6.0	4.33333333333	2.33333333333	1.66666666667	1.0	3.33333333333
1979	10.3333333333	11.3333333333	6.33333333333	5.66666666667	3.33333333333	1.33333333333	1.66666666667	1.33333333333	3.33333333333
1980	11.0	9.0	5.66666666667	5.66666666667	2.33333333333	1.0	2.0	1.33333333333	1.0
1981	13.0	10.0	5.33333333333	5.66666666667	2.66666666667	1.66666666667	2.0	1.33333333333	1.33333333333
1982	17.0	12.0	6.66666666667	6.0	3.0	3.66666666667	3.66666666667	1.0	1.33333333333
1983	18.6666666667	11.6666666667	5.66666666667	5.66666666667	3.0	4.33333333333	3.33333333333	1.0	1.33333333333
1984	17.6666666667	12.3333333333	6.0	6.0	2.66666666667	4.0	3.33333333333	1.0	1.0
1985	16.6666666667	12.6666666667	7.0	7.33333333333	2.66666666667	2.0	2.33333333333	1.33333333333	1.0
1986	15.3333333333	13.6666666667	9.66666666667	7.0	3.0	2.0	3.33333333333	1.33333333333	1.0
1987	18.3333333333	12.0	12.0	7.66666666667	2.0	1.66666666667	3.0	1.33333333333	1.0
1988	19.6666666667	14.0	15.0	6.33333333333	2.0	2.0	3.0	1.0	1.0
1989	21.6666666667	14.3333333333	15.6666666667	7.66666666667	2.0	2.33333333333	2.33333333333	1.0	1.0
1990	22.6666666667	18.0	16.6666666667	6.0	2.66666666667	3.0	3.33333333333	1.0	1.33333333333
1991	21.0	14.3333333333	12.0	5.66666666667	2.66666666667	4.0	3.0	1.33333333333	1.33333333333
1992	21.0	17.0	10.6666666667	5.33333333333	2.33333333333	4.0	4.33333333333	1.66666666667	1.33333333333
1993	20.6666666667	15.0	11.3333333333	7.0	2.66666666667	4.0	3.33333333333	2.33333333333	1.0
1994	22.6666666667	18.3333333333	11.3333333333	7.66666666667	3.0	3.0	3.0	2.33333333333	1.0
1995	20.3333333333	17.6666666667	10.3333333333	8.66666666667	3.33333333333	2.33333333333	2.33333333333	2.33333333333	1.33333333333
1996	20.6666666667	20.0	7.66666666667	8.0	2.66666666667	3.0	2.66666666667	1.66666666667	2.0
1997	20.3333333333	20.0	9.33333333333	7.33333333333	3.66666666667	3.33333333333	3.66666666667	1.66666666667	2.0
1998	22.0	19.3333333333	12.6666666667	6.33333333333	3.33333333333	3.33333333333	3.0	2.33333333333	2.33333333333
1999	20.6666666667	16.3333333333	15.3333333333	5.33333333333	4.0	3.0	2.66666666667	2.66666666667	2.0
2000	18.6666666667	19.0	16.0	6.0	3.33333333333	4.33333333333	2.66666666667	2.33333333333	2.33333333333
2001	16.3333333333	20.3333333333	16.3333333333	4.66666666667	4.33333333333	5.0	2.0	1.66666666667	2.33333333333
2002	17.0	20.6666666667	14.3333333333	5.66666666667	4.66666666667	6.33333333333	3.66666666667	1.33333333333	2.33333333333
2003	15.6666666667	16.3333333333	14.3333333333	5.33333333333	5.0	5.33333333333	3.33333333333	1.66666666667	2.66666666667
2004	17.3333333333	15.3333333333	12.6666666667	6.0	4.66666666667	4.33333333333	3.66666666667	2.33333333333	2.0
2005	17.0	15.3333333333	14.0	5.0	4.66666666667	3.0	3.33333333333	3.33333333333	2.0
2006	19.0	13.3333333333	12.3333333333	4.0	4.33333333333	2.33333333333	3.0	3.33333333333	1.66666666667
2007	20.3333333333	16.3333333333	15.3333333333	5.0	5.0	3.33333333333	3.33333333333	2.33333333333	2.33333333333
2008	23.6666666667	21.6666666667	15.0	6.0	5.33333333333	3.66666666667	3.33333333333	1.66666666667	2.0
2009	24.6666666667	25.3333333333	16.0	7.0	6.0	5.0	4.33333333333	2.0	2.0
2010	21.6666666667	23.6666666667	14.3333333333	6.33333333333	6.0	5.33333333333	5.0	2.0	3.0
2011	19.0	22.3333333333	11.0	5.66666666667	6.0	4.66666666667	4.0	1.66666666667	3.0
2012	16.3333333333	21.0	10.0	4.66666666667	5.66666666667	3.33333333333	3.33333333333	1.0	3.33333333333
2013	17.5	21.0	7.0	4.0	5.5	2.5	2.5	1.0	2.0
2014	14.0	16.0	8.0	4.0	5.0	2.0	3.0	1.0	3.0
