year	import	grain	export	soybean	harvest	wheat	cereal	crop	barley	cotton	sorghum
1970	1.66666666667	1.66666666667	1.0	1.33333333333	1.0	1.0	1.0	1.0	1.66666666667	1.0	1.0
1971	3.0	2.0	1.33333333333	1.33333333333	1.0	1.0	1.33333333333	1.0	1.66666666667	1.0	1.0
1972	5.33333333333	3.0	1.66666666667	1.66666666667	1.33333333333	1.0	1.33333333333	1.0	1.0	1.0	1.0
1973	6.33333333333	4.33333333333	1.66666666667	1.66666666667	1.33333333333	1.33333333333	1.33333333333	1.66666666667	1.66666666667	1.66666666667	1.33333333333
1974	7.66666666667	5.0	1.33333333333	2.0	1.33333333333	1.66666666667	1.0	2.0	1.66666666667	1.66666666667	1.33333333333
1975	7.33333333333	7.0	1.33333333333	2.0	1.66666666667	2.0	1.66666666667	2.33333333333	2.33333333333	1.66666666667	1.33333333333
1976	9.33333333333	8.0	1.66666666667	2.66666666667	2.33333333333	2.0	1.66666666667	1.66666666667	1.66666666667	1.66666666667	1.0
1977	9.66666666667	9.66666666667	2.0	3.0	2.66666666667	2.0	2.66666666667	2.33333333333	1.66666666667	1.66666666667	1.33333333333
1978	10.0	7.0	3.0	3.0	2.0	2.66666666667	2.0	2.33333333333	1.66666666667	1.66666666667	1.33333333333
1979	12.0	7.0	3.0	2.0	1.66666666667	2.66666666667	2.33333333333	2.33333333333	2.0	1.33333333333	2.0
1980	11.0	5.33333333333	2.66666666667	2.33333333333	1.66666666667	2.33333333333	1.33333333333	1.66666666667	2.0	1.66666666667	2.0
1981	10.6666666667	7.0	1.66666666667	5.0	1.66666666667	1.33333333333	2.0	1.66666666667	1.33333333333	2.33333333333	2.33333333333
1982	9.33333333333	5.33333333333	2.0	5.33333333333	3.33333333333	2.0	1.66666666667	2.0	1.66666666667	2.33333333333	1.66666666667
1983	11.3333333333	8.0	3.0	6.0	4.0	2.0	2.33333333333	2.33333333333	2.66666666667	2.0	2.0
1984	11.3333333333	7.66666666667	2.66666666667	3.33333333333	4.0	4.0	1.66666666667	2.0	2.66666666667	1.66666666667	1.66666666667
1985	9.33333333333	8.0	3.33333333333	3.66666666667	2.66666666667	3.0	2.0	2.0	2.0	2.0	2.0
1986	8.0	5.66666666667	3.33333333333	2.33333333333	2.66666666667	3.0	1.66666666667	2.0	1.0	2.0	1.33333333333
1987	10.0	6.0	4.33333333333	2.33333333333	3.0	1.33333333333	1.66666666667	2.0	1.33333333333	1.66666666667	1.33333333333
1988	11.6666666667	6.0	3.66666666667	2.66666666667	2.33333333333	1.66666666667	1.33333333333	1.66666666667	2.0	1.33333333333	1.0
