year	cooper	gordon	harmon	black	white	brown	chapman	william	clark	jackson	shannon	taylor	palmer	drake	walker
1970	6.66666666667	1.0	3.66666666667	5.0	1.33333333333	1.33333333333	1.0	1.33333333333	1.33333333333	1.0	1.0	1.0	1.0	1.0	1.0
1971	12.3333333333	1.0	4.0	5.66666666667	2.33333333333	2.0	1.0	1.33333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1972	17.6666666667	1.0	3.0	7.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.66666666667	1.0
1973	23.3333333333	1.0	4.33333333333	5.0	3.66666666667	1.66666666667	1.0	1.0	1.33333333333	1.33333333333	1.0	1.0	1.0	1.66666666667	1.0
1974	26.3333333333	3.0	9.66666666667	6.0	3.0	1.0	1.0	1.0	1.33333333333	1.33333333333	1.0	1.0	1.33333333333	3.0	1.0
1975	29.6666666667	6.0	13.6666666667	5.66666666667	2.66666666667	1.33333333333	1.0	1.33333333333	1.66666666667	1.66666666667	1.0	1.0	1.66666666667	2.33333333333	1.33333333333
1976	30.0	8.66666666667	17.3333333333	5.33333333333	3.0	1.33333333333	1.66666666667	1.33333333333	1.33333333333	1.33333333333	1.0	1.33333333333	2.33333333333	2.66666666667	1.66666666667
1977	40.3333333333	11.3333333333	16.6666666667	5.33333333333	3.33333333333	2.33333333333	2.33333333333	1.33333333333	2.0	1.33333333333	1.0	2.0	2.33333333333	2.0	1.66666666667
1978	60.6666666667	12.6666666667	16.0	4.66666666667	4.0	2.33333333333	2.66666666667	1.66666666667	1.66666666667	2.0	1.0	2.33333333333	2.66666666667	2.0	1.33333333333
1979	79.3333333333	14.3333333333	15.0	4.66666666667	3.66666666667	3.0	2.66666666667	1.66666666667	2.0	2.66666666667	1.0	2.0	2.0	2.66666666667	1.0
1980	95.0	13.6666666667	15.3333333333	4.33333333333	3.66666666667	2.0	2.66666666667	2.0	1.33333333333	2.66666666667	1.0	1.66666666667	2.33333333333	2.33333333333	1.0
1981	98.6666666667	14.3333333333	14.0	4.66666666667	4.0	1.66666666667	3.33333333333	2.0	1.66666666667	2.0	1.0	1.66666666667	2.33333333333	3.0	1.33333333333
1982	158.666666667	16.3333333333	15.0	5.0	4.33333333333	1.66666666667	3.33333333333	2.33333333333	1.33333333333	1.33333333333	1.0	2.0	2.33333333333	2.0	1.33333333333
1983	256.666666667	17.3333333333	15.3333333333	5.33333333333	4.66666666667	2.0	3.66666666667	2.33333333333	1.66666666667	1.66666666667	1.0	2.0	1.66666666667	1.66666666667	1.66666666667
1984	327.0	17.6666666667	18.3333333333	6.0	5.33333333333	2.66666666667	3.33333333333	1.66666666667	1.33333333333	1.33333333333	1.0	1.66666666667	1.66666666667	1.33333333333	1.33333333333
1985	339.666666667	15.3333333333	18.0	10.6666666667	5.33333333333	3.0	4.0	1.33333333333	1.66666666667	1.33333333333	1.0	2.0	1.66666666667	1.33333333333	1.33333333333
1986	306.666666667	16.3333333333	17.3333333333	14.3333333333	4.66666666667	2.66666666667	3.66666666667	2.0	1.33333333333	1.0	1.33333333333	2.0	2.66666666667	1.33333333333	1.0
1987	309.666666667	16.0	18.6666666667	17.6666666667	5.0	2.0	3.66666666667	2.33333333333	1.66666666667	1.33333333333	1.66666666667	2.66666666667	2.0	1.0	1.33333333333
1988	308.0	17.0	18.0	15.3333333333	5.66666666667	2.33333333333	4.0	2.33333333333	1.66666666667	2.33333333333	2.66666666667	2.33333333333	2.33333333333	1.66666666667	1.66666666667
1989	312.666666667	18.3333333333	15.6666666667	12.6666666667	7.0	3.66666666667	4.0	1.66666666667	2.0	3.33333333333	2.33333333333	2.0	1.33333333333	1.66666666667	2.66666666667
1990	310.666666667	20.6666666667	14.6666666667	10.3333333333	6.0	5.0	5.0	1.66666666667	3.0	3.66666666667	2.33333333333	1.33333333333	1.66666666667	1.66666666667	2.33333333333
