year	boron	filament	gallium	germanium	molybdenum	selenium	tungsten	barium	cadmium	vanadium	cobalt	tellurium	indium	yttrium	chromium
1970	1.33333333333	1.66666666667	1.0	1.33333333333	1.33333333333	1.0	1.0	1.66666666667	1.66666666667	1.66666666667	2.0	1.0	1.0	1.0	1.0
1971	1.66666666667	2.0	1.0	1.33333333333	1.33333333333	1.33333333333	1.0	1.66666666667	2.0	1.66666666667	1.33333333333	1.33333333333	1.0	1.0	1.0
1972	2.0	2.66666666667	1.33333333333	2.33333333333	1.66666666667	1.33333333333	1.0	2.0	2.66666666667	2.0	1.66666666667	1.33333333333	1.0	1.0	1.0
1973	3.33333333333	2.0	1.66666666667	3.0	1.33333333333	1.66666666667	1.0	2.33333333333	2.66666666667	2.0	2.0	1.33333333333	1.0	1.33333333333	1.66666666667
1974	4.33333333333	2.0	2.66666666667	3.0	2.0	1.33333333333	1.33333333333	2.66666666667	2.33333333333	2.66666666667	2.33333333333	1.0	1.66666666667	1.66666666667	2.66666666667
1975	5.33333333333	2.66666666667	3.0	2.66666666667	2.0	2.0	1.33333333333	3.0	2.33333333333	3.33333333333	2.0	1.66666666667	1.66666666667	1.66666666667	3.33333333333
1976	5.0	3.66666666667	2.66666666667	3.33333333333	2.33333333333	2.0	2.33333333333	2.66666666667	2.66666666667	3.0	1.66666666667	1.66666666667	2.0	1.66666666667	3.0
1977	3.33333333333	4.0	2.66666666667	3.0	2.66666666667	2.33333333333	2.33333333333	2.33333333333	3.0	3.33333333333	1.33333333333	1.66666666667	1.33333333333	1.33333333333	2.33333333333
1978	2.66666666667	4.0	3.0	3.0	3.33333333333	3.33333333333	2.33333333333	1.66666666667	2.0	2.33333333333	1.66666666667	2.0	1.33333333333	1.33333333333	1.66666666667
1979	3.33333333333	3.0	3.66666666667	3.0	4.0	3.66666666667	2.0	1.33333333333	1.66666666667	2.0	1.33333333333	2.66666666667	1.33333333333	1.0	1.33333333333
1980	3.66666666667	2.66666666667	3.33333333333	3.66666666667	3.66666666667	3.33333333333	2.33333333333	2.0	1.66666666667	1.0	1.33333333333	2.66666666667	1.33333333333	1.0	1.0
1981	4.0	2.0	4.0	3.0	3.33333333333	2.66666666667	3.0	2.0	2.66666666667	1.0	1.66666666667	2.66666666667	1.66666666667	1.0	1.0
1982	4.0	2.33333333333	4.0	2.33333333333	4.0	2.0	2.66666666667	1.66666666667	2.33333333333	1.0	2.0	2.0	1.66666666667	1.0	1.33333333333
1983	4.0	3.33333333333	3.66666666667	2.0	3.66666666667	2.0	2.66666666667	1.0	2.0	1.66666666667	2.66666666667	2.33333333333	2.0	1.33333333333	1.33333333333
1984	3.0	3.33333333333	2.33333333333	2.66666666667	4.66666666667	1.66666666667	2.33333333333	1.0	1.0	1.66666666667	2.0	1.66666666667	2.0	1.33333333333	1.33333333333
1985	3.0	4.0	3.33333333333	3.0	4.33333333333	3.0	3.33333333333	1.0	2.0	1.66666666667	2.0	2.0	2.0	1.33333333333	1.0
1986	4.0	4.33333333333	3.66666666667	3.0	4.66666666667	3.0	3.0	1.33333333333	2.66666666667	1.33333333333	1.33333333333	1.66666666667	1.66666666667	1.0	1.0
1987	5.66666666667	4.66666666667	4.0	2.66666666667	3.0	2.33333333333	3.33333333333	1.66666666667	2.66666666667	1.66666666667	1.66666666667	1.66666666667	1.33333333333	1.0	1.0
1988	5.66666666667	3.66666666667	3.0	3.0	3.33333333333	1.66666666667	2.33333333333	2.33333333333	1.66666666667	2.33333333333	2.0	2.0	1.66666666667	1.33333333333	1.66666666667
