year	fish	squid	shrimp	salmon	trout	lobster	crab	crayfish	oyster
1970	3.0	1.33333333333	1.0	1.0	1.0	1.0	1.0	1.33333333333	1.0
1971	4.33333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.66666666667	1.0
1972	7.0	1.33333333333	1.66666666667	1.0	1.33333333333	1.0	1.0	1.66666666667	1.0
1973	7.33333333333	1.33333333333	2.0	1.0	1.33333333333	1.0	1.66666666667	1.33333333333	1.33333333333
1974	10.3333333333	2.0	2.0	1.33333333333	1.33333333333	1.0	1.66666666667	1.0	1.66666666667
1975	13.6666666667	2.33333333333	1.33333333333	1.33333333333	1.0	1.33333333333	2.0	1.33333333333	1.66666666667
1976	17.3333333333	2.33333333333	1.0	1.33333333333	1.0	1.33333333333	1.33333333333	2.0	1.33333333333
1977	17.3333333333	1.66666666667	1.0	1.0	1.66666666667	1.66666666667	1.33333333333	2.0	1.0
1978	15.3333333333	2.0	1.0	1.66666666667	1.66666666667	1.66666666667	1.0	1.66666666667	1.33333333333
1979	14.6666666667	3.0	2.0	1.66666666667	2.0	1.66666666667	1.0	1.0	1.66666666667
1980	15.0	3.66666666667	2.66666666667	2.0	1.33333333333	1.33333333333	1.0	1.33333333333	2.33333333333
1981	13.0	4.0	3.0	1.33333333333	1.33333333333	1.0	1.66666666667	1.33333333333	2.0
1982	11.6666666667	4.66666666667	2.33333333333	1.66666666667	1.0	1.33333333333	2.0	1.66666666667	2.33333333333
1983	13.3333333333	4.66666666667	1.66666666667	2.33333333333	1.0	1.66666666667	2.33333333333	1.66666666667	2.33333333333
1984	15.3333333333	4.33333333333	1.66666666667	3.0	2.33333333333	1.66666666667	1.66666666667	2.33333333333	2.33333333333
1985	18.6666666667	3.33333333333	2.0	3.66666666667	3.0	1.66666666667	1.66666666667	2.33333333333	2.33333333333
1986	17.3333333333	3.0	3.0	2.66666666667	4.0	1.66666666667	1.66666666667	2.0	1.66666666667
1987	16.6666666667	3.0	3.33333333333	2.66666666667	2.66666666667	2.33333333333	2.33333333333	1.66666666667	1.66666666667
1988	13.0	2.33333333333	3.0	2.0	2.66666666667	2.33333333333	2.66666666667	1.66666666667	1.0
1989	12.0	3.0	3.0	2.33333333333	2.0	2.66666666667	2.66666666667	1.66666666667	1.33333333333
1990	12.3333333333	3.66666666667	3.0	2.33333333333	2.66666666667	3.33333333333	2.0	1.33333333333	1.33333333333
1991	12.6666666667	4.33333333333	3.66666666667	2.33333333333	2.0	3.0	1.66666666667	1.0	2.0
1992	11.6666666667	4.66666666667	4.0	2.66666666667	1.66666666667	2.66666666667	2.0	1.33333333333	2.0
1993	11.6666666667	4.33333333333	4.0	2.66666666667	2.33333333333	1.66666666667	2.0	1.66666666667	2.66666666667
1994	10.6666666667	6.0	3.33333333333	3.33333333333	2.66666666667	2.0	1.66666666667	1.66666666667	2.66666666667
1995	12.3333333333	6.33333333333	3.0	4.0	3.66666666667	1.66666666667	1.66666666667	3.33333333333	2.33333333333
1996	10.0	6.66666666667	2.66666666667	4.0	2.66666666667	1.66666666667	2.0	3.0	2.0
1997	10.3333333333	6.0	3.33333333333	3.0	2.66666666667	1.66666666667	2.0	3.33333333333	1.33333333333
1998	11.3333333333	5.0	3.66666666667	3.0	2.33333333333	3.0	1.66666666667	2.0	1.33333333333
1999	14.6666666667	4.66666666667	3.33333333333	3.33333333333	3.0	3.0	1.66666666667	2.0	1.0
2000	17.6666666667	3.66666666667	4.33333333333	4.33333333333	3.33333333333	3.0	1.66666666667	1.66666666667	1.33333333333
2001	17.0	4.33333333333	4.66666666667	3.33333333333	3.33333333333	3.0	1.66666666667	1.0	1.33333333333
2002	17.3333333333	3.33333333333	5.33333333333	2.66666666667	2.33333333333	2.66666666667	1.33333333333	1.0	1.33333333333
2003	15.0	5.0	4.0	3.33333333333	3.0	3.0	2.0	1.66666666667	1.0
2004	14.6666666667	5.33333333333	3.0	4.66666666667	2.66666666667	1.66666666667	2.33333333333	1.66666666667	1.0
2005	13.6666666667	5.66666666667	2.66666666667	5.0	3.0	1.66666666667	2.33333333333	2.0	2.0
2006	13.3333333333	3.33333333333	2.33333333333	4.0	2.0	1.0	2.33333333333	2.0	2.0
2007	13.6666666667	2.66666666667	2.66666666667	3.66666666667	2.0	2.66666666667	1.66666666667	2.33333333333	2.33333333333
2008	14.3333333333	3.66666666667	2.66666666667	3.33333333333	2.0	3.0	2.33333333333	2.0	1.33333333333
2009	15.3333333333	3.66666666667	3.0	2.66666666667	1.66666666667	3.0	2.0	1.33333333333	1.33333333333
2010	12.6666666667	3.66666666667	2.0	1.66666666667	1.33333333333	1.66666666667	2.0	1.0	3.0
2011	12.0	2.66666666667	2.0	1.66666666667	1.0	1.33333333333	2.0	1.0	4.0
2012	14.6666666667	3.0	2.0	2.0	1.66666666667	2.0	2.33333333333	1.33333333333	4.33333333333
2013	18.0	2.5	2.5	2.0	2.0	2.0	3.0	1.5	3.0
2014	21.0	2.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0
