year	england	london	scotland	ireland	plymouth	sydney	birmingham	edinburgh	canberra	bristol	dublin
1970	2.33333333333	1.33333333333	1.0	1.0	1.0	1.0	1.33333333333	1.0	1.0	1.0	1.0
1971	3.0	1.33333333333	1.0	1.0	1.0	1.0	1.33333333333	1.0	1.0	1.0	1.0
1972	4.0	1.33333333333	1.0	1.0	1.0	1.0	1.33333333333	1.0	1.33333333333	1.0	1.0
1973	5.33333333333	1.33333333333	1.33333333333	1.0	1.0	1.0	1.0	1.66666666667	1.33333333333	1.0	1.0
1974	22.3333333333	5.0	5.0	2.0	1.0	1.66666666667	1.66666666667	2.33333333333	2.0	2.0	1.33333333333
1975	34.0	6.0	7.33333333333	4.0	1.33333333333	2.33333333333	2.0	3.33333333333	2.0	2.33333333333	3.0
1976	47.3333333333	9.0	8.0	4.66666666667	1.33333333333	3.33333333333	2.0	3.0	3.0	2.33333333333	3.0
1977	41.0	6.0	5.66666666667	5.0	2.0	2.66666666667	2.0	3.33333333333	3.66666666667	1.66666666667	4.0
1978	36.0	6.33333333333	3.33333333333	3.33333333333	1.66666666667	2.33333333333	2.0	2.33333333333	3.66666666667	2.0	2.66666666667
1979	23.6666666667	4.0	3.66666666667	3.0	2.33333333333	2.0	2.0	2.33333333333	3.33333333333	2.66666666667	2.66666666667
1980	15.0	5.0	3.0	1.66666666667	2.33333333333	2.66666666667	1.33333333333	2.0	2.66666666667	2.33333333333	1.33333333333
1981	9.0	6.0	3.33333333333	1.33333333333	2.66666666667	3.0	1.33333333333	3.33333333333	2.33333333333	2.0	1.0
1982	8.66666666667	7.0	3.0	1.33333333333	2.66666666667	2.66666666667	1.33333333333	4.0	2.0	1.33333333333	1.0
1983	8.33333333333	6.0	3.0	2.33333333333	2.33333333333	2.33333333333	1.33333333333	3.66666666667	1.33333333333	1.33333333333	1.66666666667
1984	9.66666666667	4.33333333333	3.0	3.33333333333	2.66666666667	2.33333333333	1.0	2.33333333333	1.66666666667	1.0	1.66666666667
1985	11.6666666667	3.33333333333	2.0	3.33333333333	2.33333333333	2.66666666667	1.0	1.33333333333	1.33333333333	1.0	1.66666666667
1986	11.3333333333	3.33333333333	1.33333333333	2.66666666667	2.33333333333	3.66666666667	1.0	1.0	1.66666666667	1.0	1.33333333333
1987	11.6666666667	3.66666666667	1.33333333333	2.33333333333	3.0	3.0	1.0	1.0	1.33333333333	1.0	1.66666666667
1988	10.0	3.66666666667	2.0	2.33333333333	4.0	2.33333333333	1.0	1.33333333333	1.33333333333	1.0	1.66666666667
1989	13.3333333333	4.0	2.33333333333	3.33333333333	5.66666666667	1.0	1.33333333333	1.33333333333	1.0	1.0	1.66666666667
1990	12.0	3.66666666667	2.66666666667	3.66666666667	6.0	1.0	1.33333333333	1.66666666667	1.0	1.66666666667	2.0
1991	10.6666666667	4.0	2.66666666667	3.33333333333	5.66666666667	1.33333333333	1.33333333333	1.66666666667	1.0	2.0	2.0
1992	8.33333333333	4.0	2.66666666667	2.33333333333	4.33333333333	1.66666666667	1.33333333333	1.66666666667	1.33333333333	2.33333333333	1.66666666667
1993	9.66666666667	4.0	2.66666666667	1.66666666667	3.33333333333	1.66666666667	1.66666666667	1.33333333333	1.66666666667	2.0	1.0
1994	10.3333333333	4.0	2.33333333333	2.0	3.33333333333	1.33333333333	1.66666666667	1.33333333333	2.33333333333	2.0	1.0
1995	11.0	4.66666666667	2.33333333333	1.66666666667	2.66666666667	2.0	2.0	1.33333333333	2.0	1.66666666667	1.0
1996	11.6666666667	5.66666666667	2.0	1.66666666667	2.33333333333	2.66666666667	1.66666666667	1.66666666667	1.66666666667	1.33333333333	1.33333333333
1997	10.6666666667	6.0	2.0	1.33333333333	2.33333333333	3.0	2.0	2.0	1.0	1.0	1.33333333333
1998	8.66666666667	7.0	2.0	2.0	3.66666666667	2.33333333333	2.0	2.0	1.0	1.0	2.0
1999	8.0	7.33333333333	2.66666666667	2.33333333333	3.33333333333	1.66666666667	2.33333333333	2.33333333333	1.0	1.33333333333	2.0
2000	9.33333333333	6.33333333333	3.0	2.66666666667	2.66666666667	1.66666666667	4.0	2.0	1.0	2.0	2.0
2001	9.0	5.33333333333	3.33333333333	3.66666666667	1.33333333333	2.0	3.33333333333	2.0	1.0	2.0	1.33333333333
2002	8.0	5.0	3.33333333333	3.66666666667	2.33333333333	2.0	3.33333333333	1.33333333333	1.0	2.0	1.0
2003	8.33333333333	7.0	3.0	3.33333333333	2.0	1.66666666667	1.66666666667	1.33333333333	1.0	1.33333333333	1.0
2004	8.66666666667	7.66666666667	3.0	2.33333333333	2.0	1.0	2.0	1.66666666667	1.0	1.66666666667	1.0
2005	8.33333333333	7.33333333333	2.0	2.0	1.33333333333	1.0	1.66666666667	1.66666666667	1.0	1.33333333333	1.0
2006	7.66666666667	8.33333333333	1.66666666667	2.33333333333	1.33333333333	1.0	1.66666666667	1.33333333333	1.0	1.33333333333	1.0
2007	6.33333333333	6.66666666667	2.66666666667	2.66666666667	1.33333333333	1.0	2.0	2.0	1.0	1.0	1.66666666667
2008	5.33333333333	8.33333333333	2.66666666667	3.0	1.33333333333	1.66666666667	2.0	2.0	1.0	1.0	2.0
2009	4.33333333333	5.33333333333	3.66666666667	3.66666666667	1.33333333333	2.0	1.66666666667	2.33333333333	1.0	1.0	2.33333333333
2010	8.0	5.33333333333	3.66666666667	2.66666666667	1.66666666667	2.33333333333	1.33333333333	1.66666666667	1.0	1.0	1.66666666667
2011	10.3333333333	3.66666666667	4.0	2.66666666667	1.33333333333	2.33333333333	2.33333333333	1.66666666667	1.0	1.0	1.33333333333
2012	9.0	3.0	3.0	2.33333333333	1.33333333333	2.33333333333	2.66666666667	1.33333333333	1.33333333333	1.0	1.0
2013	6.5	3.0	1.5	3.0	1.0	2.5	3.0	1.0	1.5	1.0	1.0
2014	2.0	1.0	1.0	3.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0
