year	berkeley	stanford	princeton	harvard	ithaca	pasadena	professor	amherst	dartmouth	georgetown
1970	1.0	3.0	1.0	1.33333333333	1.0	1.0	1.0	1.0	1.0	1.33333333333
1971	1.0	3.33333333333	1.0	1.33333333333	1.0	1.0	1.0	1.0	1.0	1.33333333333
1972	1.0	2.0	1.0	1.33333333333	1.0	1.0	1.33333333333	1.0	1.0	1.33333333333
1973	1.33333333333	2.66666666667	1.0	1.0	1.0	1.33333333333	1.33333333333	1.0	1.0	1.0
1974	2.0	2.33333333333	1.33333333333	1.33333333333	1.0	1.33333333333	1.33333333333	1.33333333333	1.0	1.33333333333
1975	2.0	2.66666666667	1.66666666667	1.33333333333	1.33333333333	1.33333333333	2.0	1.33333333333	1.33333333333	1.66666666667
1976	2.33333333333	2.33333333333	2.0	1.66666666667	2.0	1.33333333333	2.33333333333	1.33333333333	1.33333333333	1.66666666667
1977	2.66666666667	2.66666666667	2.0	2.0	2.0	1.33333333333	2.66666666667	1.0	1.33333333333	1.33333333333
1978	4.0	3.0	1.66666666667	3.0	1.66666666667	1.33333333333	1.66666666667	1.66666666667	1.0	1.0
1979	4.66666666667	2.66666666667	1.66666666667	2.66666666667	1.33333333333	1.0	1.66666666667	2.0	1.0	1.0
1980	4.33333333333	5.33333333333	1.33333333333	2.0	1.66666666667	1.33333333333	1.33333333333	2.0	1.0	1.0
1981	5.0	5.66666666667	2.33333333333	1.66666666667	2.33333333333	1.33333333333	1.33333333333	1.66666666667	1.0	1.0
1982	5.66666666667	7.66666666667	2.66666666667	1.66666666667	2.33333333333	1.66666666667	1.33333333333	1.33333333333	1.0	1.0
1983	6.0	6.0	3.33333333333	2.66666666667	2.33333333333	1.33333333333	1.66666666667	1.66666666667	1.0	1.0
1984	6.33333333333	5.66666666667	2.33333333333	2.0	1.66666666667	1.66666666667	2.0	2.33333333333	1.0	1.0
1985	5.66666666667	6.33333333333	3.0	2.66666666667	2.66666666667	1.33333333333	1.66666666667	2.66666666667	1.33333333333	1.33333333333
1986	6.0	5.66666666667	3.33333333333	2.33333333333	2.66666666667	1.33333333333	1.66666666667	2.66666666667	1.33333333333	1.33333333333
1987	6.0	6.0	4.33333333333	2.33333333333	3.33333333333	1.33333333333	1.66666666667	1.66666666667	1.66666666667	1.33333333333
1988	5.66666666667	4.33333333333	3.0	1.66666666667	3.0	1.66666666667	2.0	1.33333333333	1.66666666667	1.66666666667
1989	5.0	5.33333333333	3.0	1.0	3.33333333333	1.66666666667	1.66666666667	1.66666666667	2.0	2.33333333333
1990	5.66666666667	4.66666666667	2.0	1.66666666667	3.0	2.0	1.33333333333	1.66666666667	2.0	2.33333333333
1991	6.66666666667	5.0	2.66666666667	2.66666666667	2.66666666667	1.66666666667	1.33333333333	1.66666666667	2.0	2.0
1992	8.0	5.0	2.0	3.66666666667	2.0	1.66666666667	2.0	1.0	2.33333333333	1.66666666667
1993	7.0	5.66666666667	3.33333333333	4.66666666667	2.0	1.66666666667	2.66666666667	1.66666666667	2.0	1.66666666667
1994	8.66666666667	6.0	3.33333333333	4.66666666667	1.66666666667	2.0	2.33333333333	1.66666666667	1.66666666667	1.33333333333
1995	9.0	5.33333333333	4.0	5.33333333333	2.66666666667	2.33333333333	2.33333333333	1.66666666667	1.33333333333	1.0
1996	9.0	4.66666666667	4.0	4.33333333333	2.33333333333	2.0	2.33333333333	1.33333333333	1.66666666667	1.0
1997	6.66666666667	3.0	4.33333333333	3.66666666667	2.66666666667	2.33333333333	2.66666666667	1.66666666667	2.0	1.0
1998	4.66666666667	3.33333333333	4.33333333333	2.66666666667	1.66666666667	2.33333333333	2.0	1.66666666667	1.66666666667	1.0
1999	4.0	3.33333333333	3.33333333333	3.33333333333	1.66666666667	2.33333333333	1.33333333333	2.0	2.33333333333	1.33333333333
