year	american	america	australia	zealand	canada	british	canadian	australian	britain
1970	4.66666666667	3.0	1.66666666667	1.33333333333	1.0	1.33333333333	1.66666666667	1.33333333333	1.0
1971	6.0	4.33333333333	1.66666666667	1.66666666667	1.0	1.33333333333	1.66666666667	1.66666666667	1.0
1972	10.0	6.66666666667	1.66666666667	1.66666666667	2.33333333333	1.66666666667	2.0	1.66666666667	1.0
1973	15.0	8.33333333333	2.66666666667	1.66666666667	3.0	1.66666666667	1.33333333333	1.66666666667	1.33333333333
1974	20.6666666667	10.3333333333	6.66666666667	2.66666666667	4.66666666667	2.66666666667	1.33333333333	3.33333333333	2.0
1975	24.0	12.6666666667	9.66666666667	5.66666666667	6.33333333333	3.33333333333	1.33333333333	4.33333333333	2.0
1976	24.6666666667	16.3333333333	13.0	7.66666666667	7.66666666667	4.0	1.33333333333	5.0	2.0
1977	27.0	18.0	12.6666666667	6.66666666667	7.66666666667	4.0	2.33333333333	4.33333333333	1.66666666667
1978	25.3333333333	19.6666666667	11.3333333333	5.0	7.0	4.33333333333	2.33333333333	4.33333333333	1.66666666667
1979	27.3333333333	19.6666666667	10.0	5.33333333333	6.33333333333	4.33333333333	2.66666666667	4.33333333333	1.33333333333
1980	25.6666666667	20.0	11.0	5.66666666667	6.0	3.66666666667	2.0	4.0	1.0
1981	29.6666666667	19.3333333333	15.3333333333	6.0	5.0	4.66666666667	2.33333333333	3.33333333333	1.33333333333
1982	35.3333333333	18.3333333333	20.0	7.66666666667	5.66666666667	4.66666666667	2.33333333333	3.33333333333	2.0
1983	40.0	21.6666666667	18.6666666667	10.6666666667	6.33333333333	6.0	2.0	4.0	2.33333333333
1984	38.6666666667	22.6666666667	15.3333333333	13.0	7.66666666667	4.66666666667	1.66666666667	5.0	2.33333333333
1985	37.0	26.6666666667	10.3333333333	12.0	8.0	3.66666666667	2.0	4.33333333333	1.66666666667
1986	35.3333333333	27.0	12.6666666667	11.6666666667	8.0	5.0	3.0	3.0	2.0
1987	35.6666666667	29.3333333333	13.3333333333	10.0	8.33333333333	4.66666666667	3.0	2.33333333333	1.66666666667
1988	36.6666666667	29.3333333333	13.3333333333	8.66666666667	8.66666666667	6.33333333333	4.0	3.0	2.33333333333
1989	44.0	27.0	9.33333333333	10.0	11.3333333333	4.66666666667	3.66666666667	3.66666666667	2.33333333333
1990	49.3333333333	26.3333333333	9.0	13.0	12.6666666667	6.0	5.0	3.33333333333	3.0
1991	50.0	23.0	9.33333333333	16.6666666667	13.3333333333	6.33333333333	3.66666666667	3.66666666667	3.33333333333
1992	49.3333333333	29.6666666667	10.0	17.0	13.3333333333	6.66666666667	4.33333333333	2.66666666667	2.66666666667
1993	51.3333333333	30.6666666667	10.3333333333	13.0	11.6666666667	5.66666666667	3.33333333333	2.66666666667	2.33333333333
1994	52.6666666667	39.0	10.0	10.3333333333	12.0	4.66666666667	4.0	1.33333333333	1.33333333333
1995	53.0	38.0	11.0	7.33333333333	10.3333333333	3.66666666667	3.66666666667	3.0	1.66666666667
1996	55.0	35.6666666667	9.33333333333	9.66666666667	11.0	4.66666666667	5.33333333333	3.33333333333	1.66666666667
1997	56.0	35.0	9.66666666667	10.6666666667	11.0	4.66666666667	6.0	3.33333333333	2.66666666667
1998	58.3333333333	30.3333333333	9.33333333333	11.6666666667	10.6666666667	4.66666666667	6.0	2.66666666667	3.66666666667
1999	62.0	36.0	8.33333333333	11.0	11.6666666667	4.0	4.33333333333	3.0	3.33333333333
2000	67.3333333333	33.6666666667	7.33333333333	9.66666666667	15.0	3.0	4.0	3.66666666667	2.66666666667
2001	76.0	36.0	7.33333333333	10.3333333333	16.6666666667	3.66666666667	4.0	3.33333333333	1.33333333333
2002	80.3333333333	38.3333333333	10.6666666667	9.66666666667	17.6666666667	3.33333333333	5.66666666667	2.66666666667	1.33333333333
2003	82.0	36.6666666667	11.0	10.6666666667	13.3333333333	4.33333333333	6.0	4.0	1.33333333333
2004	80.0	35.0	9.66666666667	9.33333333333	12.0	4.33333333333	5.66666666667	4.33333333333	1.66666666667
2005	78.6666666667	35.3333333333	7.0	8.33333333333	9.66666666667	4.66666666667	3.66666666667	4.33333333333	2.0
2006	76.3333333333	42.3333333333	7.66666666667	9.0	10.3333333333	5.33333333333	4.0	2.66666666667	2.0
2007	79.3333333333	49.0	8.66666666667	9.0	12.0	6.33333333333	4.33333333333	2.33333333333	2.66666666667
2008	82.0	47.3333333333	10.3333333333	9.0	11.3333333333	5.0	4.0	4.33333333333	2.33333333333
2009	92.0	44.3333333333	10.0	12.0	10.0	4.0	2.66666666667	4.33333333333	2.0
2010	83.6666666667	37.3333333333	14.3333333333	17.0	9.33333333333	2.33333333333	2.0	3.66666666667	1.33333333333
2011	72.6666666667	35.3333333333	18.3333333333	23.0	10.0	2.66666666667	4.0	1.33333333333	1.33333333333
2012	63.0	36.3333333333	16.6666666667	20.3333333333	10.0	4.33333333333	3.66666666667	1.0	1.33333333333
2013	61.5	41.5	13.5	18.5	8.5	5.0	4.5	1.0	1.0
2014	67.0	46.0	4.0	14.0	7.0	8.0	2.0	1.0	1.0
