year	carolina	virginia	michigan	oregon	wisconsin	maryland	louisiana	alabama	montana	mississippi	missouri	indiana	oklahoma	idaho	dakota
1970	1.33333333333	1.66666666667	1.33333333333	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.33333333333	1.33333333333	1.0	1.0
1971	1.33333333333	1.66666666667	1.33333333333	2.0	1.33333333333	1.0	1.33333333333	1.0	1.66666666667	4.33333333333	1.66666666667	1.0	1.0	1.0	1.0
1972	1.33333333333	2.0	2.0	2.33333333333	1.66666666667	1.33333333333	1.33333333333	1.0	2.33333333333	5.0	2.0	1.0	1.33333333333	1.0	1.33333333333
1973	2.33333333333	3.33333333333	1.66666666667	3.33333333333	2.0	2.66666666667	1.66666666667	1.33333333333	3.33333333333	5.66666666667	2.0	1.33333333333	2.0	1.66666666667	1.33333333333
1974	4.33333333333	5.0	3.0	5.33333333333	3.66666666667	3.66666666667	2.0	2.33333333333	3.0	2.33333333333	2.66666666667	2.33333333333	3.0	1.66666666667	1.33333333333
1975	6.33333333333	7.66666666667	6.66666666667	7.33333333333	5.66666666667	3.33333333333	2.66666666667	3.0	3.33333333333	2.66666666667	4.0	3.0	3.66666666667	2.66666666667	1.33333333333
1976	8.0	9.33333333333	10.0	8.0	7.33333333333	3.0	2.66666666667	3.66666666667	3.0	2.66666666667	5.0	3.33333333333	4.0	2.66666666667	2.33333333333
1977	9.66666666667	11.0	10.6666666667	8.66666666667	8.33333333333	3.33333333333	2.0	3.66666666667	5.0	4.0	6.66666666667	3.0	4.33333333333	3.33333333333	3.0
1978	10.3333333333	10.6666666667	9.33333333333	7.66666666667	9.33333333333	4.0	2.66666666667	4.33333333333	6.66666666667	3.66666666667	6.66666666667	4.0	4.66666666667	4.33333333333	2.66666666667
1979	11.3333333333	9.66666666667	8.66666666667	7.0	8.33333333333	4.33333333333	2.33333333333	3.33333333333	7.33333333333	4.0	5.33333333333	5.66666666667	4.0	5.33333333333	2.0
1980	9.33333333333	7.66666666667	8.0	7.0	6.66666666667	4.66666666667	3.0	2.66666666667	6.33333333333	3.66666666667	4.0	5.33333333333	3.0	5.0	1.66666666667
1981	11.6666666667	7.66666666667	8.0	8.33333333333	4.33333333333	5.0	1.66666666667	1.66666666667	4.33333333333	3.66666666667	2.66666666667	5.0	2.66666666667	5.0	2.33333333333
1982	9.66666666667	6.0	9.0	10.3333333333	6.0	6.66666666667	1.66666666667	2.0	4.66666666667	4.66666666667	3.66666666667	5.0	3.66666666667	5.33333333333	2.0
1983	11.0	6.66666666667	8.66666666667	9.0	5.33333333333	8.0	1.66666666667	3.0	5.33333333333	5.0	3.66666666667	5.66666666667	5.66666666667	5.33333333333	3.0
1984	8.66666666667	7.0	6.33333333333	7.33333333333	6.66666666667	8.33333333333	1.66666666667	3.66666666667	5.33333333333	4.66666666667	3.66666666667	4.66666666667	5.0	4.0	2.66666666667
1985	9.66666666667	9.0	4.66666666667	7.33333333333	4.66666666667	6.0	3.0	4.33333333333	4.66666666667	4.0	3.0	4.66666666667	4.66666666667	2.66666666667	2.66666666667
1986	9.66666666667	10.0	5.66666666667	7.33333333333	4.66666666667	5.66666666667	4.33333333333	3.33333333333	3.33333333333	4.0	4.33333333333	4.66666666667	3.0	3.33333333333	1.66666666667
