year	pilot	flight	aircraft	carrier	vessel	plane	collision	ship	aboard	fleet
1970	1.66666666667	1.66666666667	2.33333333333	1.33333333333	4.66666666667	1.33333333333	1.0	1.0	1.33333333333	1.0
1971	1.66666666667	2.0	3.66666666667	2.0	6.0	1.33333333333	1.0	1.33333333333	1.33333333333	1.0
1972	3.0	2.33333333333	3.66666666667	2.33333333333	5.33333333333	1.33333333333	1.0	1.66666666667	1.33333333333	1.0
1973	4.66666666667	2.33333333333	4.0	2.0	5.0	2.33333333333	1.33333333333	3.0	1.0	1.0
1974	5.66666666667	2.0	3.0	5.0	5.0	3.33333333333	2.0	3.0	1.33333333333	1.0
1975	4.66666666667	2.33333333333	3.66666666667	5.66666666667	4.66666666667	3.66666666667	2.33333333333	3.33333333333	1.66666666667	1.0
1976	3.33333333333	2.0	3.0	6.0	5.66666666667	3.66666666667	2.0	2.33333333333	1.66666666667	1.0
1977	2.33333333333	2.0	3.66666666667	3.33333333333	5.0	5.66666666667	2.66666666667	2.33333333333	1.66666666667	1.0
1978	2.66666666667	1.33333333333	2.66666666667	3.33333333333	6.0	5.66666666667	3.33333333333	3.0	1.33333333333	1.0
1979	2.66666666667	1.66666666667	3.66666666667	3.33333333333	5.66666666667	5.33333333333	4.0	2.66666666667	1.33333333333	1.33333333333
1980	4.0	2.33333333333	4.33333333333	3.33333333333	6.0	4.0	2.66666666667	2.66666666667	1.0	1.66666666667
1981	2.66666666667	2.66666666667	4.66666666667	2.66666666667	5.33333333333	4.33333333333	2.0	1.33333333333	1.0	1.66666666667
1982	4.0	3.0	4.0	3.33333333333	3.66666666667	5.33333333333	2.0	1.33333333333	1.33333333333	1.33333333333
1983	3.66666666667	3.66666666667	5.33333333333	3.66666666667	4.0	3.66666666667	3.66666666667	1.0	1.66666666667	1.33333333333
1984	6.33333333333	3.33333333333	7.0	4.0	4.33333333333	3.33333333333	4.0	1.0	2.0	1.66666666667
1985	6.66666666667	3.33333333333	6.66666666667	4.0	5.66666666667	3.0	3.33333333333	1.66666666667	2.0	1.66666666667
1986	7.0	2.66666666667	4.33333333333	4.0	5.33333333333	3.66666666667	3.66666666667	1.66666666667	1.66666666667	1.66666666667
1987	7.33333333333	3.33333333333	3.33333333333	5.0	4.66666666667	3.66666666667	4.0	1.66666666667	1.33333333333	1.33333333333
1988	8.33333333333	3.33333333333	4.33333333333	5.66666666667	4.0	3.66666666667	4.33333333333	1.0	1.0	1.33333333333
1989	9.66666666667	2.66666666667	6.66666666667	6.0	4.0	5.33333333333	3.0	1.33333333333	1.33333333333	1.33333333333
1990	9.33333333333	4.0	8.33333333333	6.33333333333	4.66666666667	7.0	3.66666666667	1.66666666667	1.33333333333	2.0
1991	11.3333333333	5.66666666667	8.66666666667	6.0	4.0	7.33333333333	4.66666666667	2.0	1.33333333333	2.0
1992	12.0	5.66666666667	7.0	6.0	4.0	5.33333333333	4.66666666667	1.66666666667	1.33333333333	1.66666666667
1993	15.0	6.33333333333	6.0	5.66666666667	4.0	4.0	4.66666666667	2.0	1.33333333333	1.33333333333
1994	13.6666666667	5.66666666667	5.66666666667	4.66666666667	4.66666666667	3.66666666667	4.33333333333	2.33333333333	1.66666666667	1.33333333333
1995	15.6666666667	7.0	6.33333333333	4.66666666667	4.66666666667	4.66666666667	4.0	2.33333333333	1.33333333333	1.33333333333
1996	13.3333333333	6.66666666667	5.33333333333	4.33333333333	3.66666666667	5.0	4.0	1.66666666667	1.33333333333	1.33333333333
1997	15.6666666667	6.33333333333	5.0	4.66666666667	3.0	5.0	3.33333333333	1.66666666667	1.66666666667	2.0
1998	13.0	7.33333333333	4.0	4.0	3.66666666667	4.0	3.66666666667	1.66666666667	2.0	2.66666666667
1999	15.0	7.33333333333	7.66666666667	4.0	5.0	3.33333333333	2.0	2.0	2.0	2.33333333333
2000	16.3333333333	9.0	7.0	4.0	5.33333333333	3.33333333333	2.0	1.33333333333	1.33333333333	2.0
2001	19.3333333333	7.66666666667	8.33333333333	5.0	4.66666666667	4.66666666667	2.66666666667	1.66666666667	1.0	1.66666666667
2002	16.3333333333	7.33333333333	5.0	5.0	6.33333333333	5.0	3.33333333333	1.66666666667	1.0	2.0
2003	14.0	5.0	6.0	5.0	6.33333333333	6.66666666667	3.66666666667	2.0	1.0	1.66666666667
2004	14.3333333333	6.0	4.33333333333	4.0	6.33333333333	8.0	2.66666666667	2.0	1.0	1.33333333333
2005	17.3333333333	6.33333333333	5.0	4.33333333333	5.0	8.0	2.66666666667	2.0	2.33333333333	1.33333333333
2006	21.3333333333	8.0	4.66666666667	5.66666666667	4.66666666667	5.66666666667	2.0	2.0	2.33333333333	1.33333333333
2007	22.6666666667	10.6666666667	7.0	7.0	5.33333333333	4.33333333333	2.33333333333	2.0	3.66666666667	3.0
2008	24.3333333333	12.6666666667	5.66666666667	8.66666666667	5.66666666667	5.33333333333	3.33333333333	1.66666666667	2.33333333333	3.0
2009	18.6666666667	13.3333333333	5.66666666667	10.0	5.66666666667	5.66666666667	3.66666666667	1.33333333333	2.66666666667	3.66666666667
2010	15.6666666667	10.0	6.33333333333	10.0	4.0	4.33333333333	3.66666666667	1.0	1.33333333333	2.33333333333
2011	13.6666666667	9.0	9.33333333333	10.3333333333	4.33333333333	4.33333333333	2.33333333333	1.33333333333	2.66666666667	2.33333333333
2012	13.3333333333	8.33333333333	9.33333333333	9.33333333333	4.66666666667	3.66666666667	2.33333333333	1.33333333333	2.33333333333	1.66666666667
2013	13.0	9.5	8.0	10.0	6.0	4.5	2.0	1.5	3.0	1.5
2014	10.0	8.0	4.0	8.0	4.0	2.0	2.0	1.0	1.0	1.0
