year	second	third	fourth	fifth	sixth	seventh	eighth	ninth	tenth	twentieth	eleventh	fifteenth	twelfth	nineteenth	thirteenth
1970	2.0	2.0	1.66666666667	1.33333333333	1.33333333333	1.33333333333	1.33333333333	1.0	1.0	1.0	1.33333333333	1.0	2.0	1.0	1.66666666667
1971	2.33333333333	2.33333333333	1.66666666667	2.0	1.33333333333	1.0	1.0	1.0	1.0	1.0	1.33333333333	1.0	1.33333333333	1.0	2.0
1972	4.0	3.0	1.33333333333	1.66666666667	1.33333333333	1.66666666667	1.0	1.0	1.0	1.33333333333	1.0	1.0	1.0	1.0	1.66666666667
1973	5.33333333333	4.33333333333	2.0	2.0	1.0	2.0	1.0	1.0	1.0	1.66666666667	1.0	1.0	1.0	1.0	1.33333333333
1974	11.0	9.0	5.0	3.66666666667	4.66666666667	3.66666666667	1.66666666667	2.33333333333	2.0	1.66666666667	1.33333333333	1.0	1.33333333333	1.33333333333	1.0
1975	17.0	16.3333333333	12.0	9.0	6.0	7.66666666667	5.33333333333	3.33333333333	6.33333333333	3.0	2.33333333333	2.33333333333	2.66666666667	1.66666666667	2.0
1976	19.3333333333	17.6666666667	14.6666666667	13.0	7.0	8.33333333333	6.0	5.0	6.33333333333	3.0	3.33333333333	2.66666666667	3.33333333333	2.0	2.0
1977	15.6666666667	14.3333333333	13.0	12.0	4.66666666667	7.0	6.0	4.0	5.33333333333	3.0	3.0	2.66666666667	3.0	2.0	2.0
1978	15.0	12.0	8.0	8.66666666667	4.0	4.0	3.66666666667	4.0	1.33333333333	1.33333333333	2.0	1.66666666667	1.66666666667	2.33333333333	1.0
1979	13.0	13.0	6.66666666667	6.33333333333	5.0	4.66666666667	3.66666666667	4.66666666667	1.66666666667	1.33333333333	1.33333333333	1.66666666667	1.0	2.0	1.0
1980	14.6666666667	13.3333333333	8.33333333333	6.0	5.0	5.33333333333	4.0	5.0	3.0	1.33333333333	1.66666666667	1.66666666667	1.33333333333	3.0	1.33333333333
1981	10.6666666667	9.0	10.3333333333	5.33333333333	9.66666666667	4.66666666667	4.33333333333	4.66666666667	3.33333333333	1.33333333333	2.0	2.0	1.33333333333	2.33333333333	1.33333333333
