year	region	north	southern	central	south	western	northern	eastern	southeastern	northwest	southeast	southwestern	southwest	northeastern	northwestern
1970	10.3333333333	3.66666666667	3.0	5.33333333333	5.33333333333	1.33333333333	3.0	1.66666666667	1.66666666667	1.33333333333	1.0	1.0	1.0	1.0	1.0
1971	17.0	6.33333333333	5.0	9.66666666667	5.33333333333	3.0	3.66666666667	2.0	2.0	1.66666666667	1.0	1.66666666667	1.33333333333	1.0	1.33333333333
1972	22.3333333333	12.6666666667	8.33333333333	14.0	6.33333333333	5.66666666667	4.0	4.0	2.33333333333	3.0	2.0	2.66666666667	2.33333333333	1.0	2.0
1973	31.6666666667	20.0	14.6666666667	18.0	9.33333333333	11.3333333333	7.0	7.0	3.0	3.66666666667	4.66666666667	4.0	2.66666666667	1.33333333333	2.66666666667
1974	45.3333333333	28.0	21.6666666667	19.3333333333	15.0	16.0	8.66666666667	10.3333333333	4.33333333333	5.66666666667	6.0	4.33333333333	3.66666666667	3.0	3.0
1975	59.6666666667	37.6666666667	28.6666666667	22.3333333333	19.3333333333	20.3333333333	12.0	12.0	5.0	7.0	6.0	4.33333333333	5.66666666667	3.33333333333	3.0
1976	66.3333333333	44.3333333333	31.6666666667	25.3333333333	21.6666666667	19.6666666667	11.6666666667	13.0	7.0	7.33333333333	4.66666666667	4.0	7.33333333333	5.33333333333	2.66666666667
1977	70.6666666667	51.3333333333	34.3333333333	31.0	23.0	22.6666666667	17.0	14.6666666667	9.0	7.66666666667	3.33333333333	3.66666666667	7.33333333333	4.0	3.0
1978	73.0	51.6666666667	35.3333333333	32.3333333333	23.3333333333	22.6666666667	17.3333333333	18.3333333333	9.33333333333	7.0	2.33333333333	5.0	5.66666666667	6.0	3.66666666667
1979	72.3333333333	54.0	34.6666666667	31.6666666667	22.6666666667	22.6666666667	19.0	18.0	8.33333333333	6.66666666667	1.0	6.0	4.33333333333	5.0	5.66666666667
1980	65.6666666667	48.0	34.3333333333	29.3333333333	22.3333333333	22.6666666667	16.0	18.6666666667	6.66666666667	5.66666666667	1.66666666667	6.33333333333	5.33333333333	5.33333333333	6.33333333333
1981	62.6666666667	47.0	34.0	31.3333333333	24.6666666667	23.3333333333	17.6666666667	16.0	7.33333333333	5.66666666667	2.66666666667	5.0	5.66666666667	4.66666666667	6.33333333333
1982	72.6666666667	39.6666666667	37.3333333333	32.3333333333	26.3333333333	25.3333333333	21.0	19.3333333333	8.33333333333	6.33333333333	3.66666666667	4.0	6.33333333333	5.33333333333	5.0
1983	83.3333333333	43.6666666667	32.6666666667	34.6666666667	29.3333333333	26.6666666667	23.3333333333	20.3333333333	9.0	6.33333333333	4.0	5.66666666667	6.33333333333	5.33333333333	4.0
1984	94.6666666667	41.0	32.6666666667	38.0	29.0	25.3333333333	24.0	22.6666666667	8.33333333333	5.33333333333	3.66666666667	6.33333333333	6.66666666667	4.33333333333	7.0
1985	88.3333333333	49.3333333333	32.6666666667	40.6666666667	34.6666666667	29.6666666667	23.6666666667	24.3333333333	8.33333333333	4.33333333333	4.0	7.33333333333	6.66666666667	4.33333333333	8.33333333333
1986	92.0	46.3333333333	38.0	39.6666666667	37.3333333333	25.0	26.6666666667	25.6666666667	9.33333333333	4.0	4.66666666667	5.33333333333	7.0	4.66666666667	8.66666666667
1987	92.3333333333	57.3333333333	34.0	35.3333333333	39.0	29.3333333333	26.0	27.3333333333	10.0	5.66666666667	6.33333333333	6.0	9.66666666667	5.66666666667	7.0
1988	101.666666667	61.3333333333	31.0	38.6666666667	37.0	26.6666666667	27.0	23.0	9.66666666667	7.66666666667	7.66666666667	7.0	11.3333333333	4.66666666667	6.66666666667
1989	105.0	70.6666666667	33.6666666667	46.0	39.0	35.0	31.6666666667	27.3333333333	9.0	9.33333333333	8.33333333333	9.0	9.33333333333	7.0	7.33333333333
1990	107.666666667	66.3333333333	41.0	51.0	41.3333333333	36.6666666667	36.3333333333	28.3333333333	12.0	8.0	8.66666666667	10.6666666667	6.66666666667	7.33333333333	5.66666666667
1991	101.0	57.0	49.3333333333	44.3333333333	39.6666666667	39.3333333333	37.0	34.6666666667	11.6666666667	7.66666666667	8.0	9.0	6.66666666667	11.0	6.33333333333
1992	100.666666667	53.0	49.3333333333	40.3333333333	37.3333333333	41.0	35.0	32.0	12.3333333333	9.66666666667	8.66666666667	8.33333333333	8.0	10.0	7.66666666667
1993	96.0	54.3333333333	47.6666666667	34.6666666667	34.6666666667	41.3333333333	33.3333333333	32.0	8.66666666667	10.3333333333	11.3333333333	8.66666666667	8.33333333333	9.0	8.33333333333
1994	92.0	62.3333333333	54.3333333333	37.0	38.3333333333	41.6666666667	34.6666666667	31.6666666667	9.0	10.0	12.0	10.3333333333	6.66666666667	6.66666666667	7.0
1995	88.3333333333	68.0	54.3333333333	40.6666666667	38.0	41.6666666667	33.3333333333	30.6666666667	8.66666666667	8.0	11.0	10.6666666667	6.33333333333	9.0	5.66666666667
1996	83.6666666667	65.0	58.6666666667	43.0	40.6666666667	40.6666666667	29.6666666667	29.0	11.0	8.66666666667	8.0	9.66666666667	5.66666666667	8.33333333333	6.33333333333
1997	93.6666666667	62.6666666667	51.3333333333	43.6666666667	39.0	50.3333333333	30.6666666667	27.0	10.3333333333	9.0	7.33333333333	9.0	8.0	7.0	5.66666666667
1998	94.6666666667	60.3333333333	61.0	46.3333333333	43.3333333333	52.6666666667	32.6666666667	27.3333333333	11.0	7.66666666667	8.0	8.66666666667	11.0	3.66666666667	5.33333333333
1999	103.333333333	66.3333333333	69.6666666667	47.6666666667	44.6666666667	54.6666666667	39.3333333333	31.3333333333	8.33333333333	7.33333333333	7.66666666667	7.33333333333	11.3333333333	6.0	4.0
2000	97.3333333333	72.6666666667	70.6666666667	52.0	51.0	52.0	45.0	28.6666666667	10.0	10.6666666667	8.0	8.66666666667	8.66666666667	7.66666666667	5.0
2001	98.3333333333	74.3333333333	69.0	47.3333333333	44.3333333333	51.0	39.3333333333	29.0	7.66666666667	10.6666666667	8.0	10.0	7.66666666667	8.33333333333	6.0
2002	88.0	80.6666666667	67.3333333333	48.6666666667	45.6666666667	53.6666666667	36.3333333333	31.3333333333	11.0	13.6666666667	10.6666666667	11.0	9.66666666667	9.0	5.33333333333
2003	86.6666666667	73.0	65.0	47.6666666667	40.3333333333	48.3333333333	35.3333333333	32.6666666667	10.3333333333	11.6666666667	10.3333333333	10.6666666667	11.3333333333	9.0	6.66666666667
2004	86.3333333333	80.0	59.0	43.0	42.3333333333	47.0	38.3333333333	33.0	11.6666666667	14.0	11.3333333333	11.0	9.33333333333	14.0	5.66666666667
2005	89.3333333333	80.0	57.3333333333	37.6666666667	48.6666666667	42.3333333333	42.0	30.6666666667	10.6666666667	13.0	8.33333333333	12.3333333333	6.66666666667	11.3333333333	6.66666666667
2006	98.6666666667	90.3333333333	62.0	36.3333333333	52.6666666667	40.6666666667	38.0	36.6666666667	9.66666666667	13.6666666667	10.0	12.3333333333	8.33333333333	11.0	6.0
2007	104.0	94.0	69.6666666667	49.6666666667	59.3333333333	47.6666666667	40.0	39.0	11.3333333333	14.6666666667	10.6666666667	10.3333333333	11.6666666667	6.0	6.66666666667
2008	122.0	87.0	72.0	56.6666666667	55.6666666667	50.0	51.0	38.3333333333	10.0	17.6666666667	12.6666666667	8.66666666667	14.0	7.66666666667	7.33333333333
2009	128.666666667	89.0	69.0	57.3333333333	52.3333333333	51.3333333333	50.3333333333	39.6666666667	11.6666666667	15.6666666667	14.0	8.0	11.6666666667	7.66666666667	7.33333333333
2010	122.333333333	73.3333333333	60.6666666667	48.6666666667	49.6666666667	37.6666666667	49.3333333333	42.0	10.6666666667	15.3333333333	11.0	7.66666666667	13.0	7.66666666667	6.0
2011	109.666666667	80.0	52.3333333333	43.6666666667	46.3333333333	34.3333333333	33.6666666667	36.6666666667	11.6666666667	10.6666666667	9.33333333333	7.33333333333	12.6666666667	6.66666666667	5.33333333333
2012	96.3333333333	73.0	50.0	41.0	42.6666666667	35.0	28.0	29.3333333333	11.3333333333	11.6666666667	7.0	7.0	12.6666666667	8.0	4.33333333333
2013	94.5	82.0	50.5	37.5	39.5	38.0	24.0	21.5	11.0	10.0	8.0	8.0	9.0	8.5	5.0
2014	91.0	72.0	48.0	38.0	31.0	43.0	19.0	22.0	11.0	11.0	9.0	8.0	7.0	12.0	5.0
