year	activ	gener	deform	polit	machin	fundament	sens	basi	futur	diffract	silic	perturb	creat	provid	minim
1970	11.6666666667	7.66666666667	4.33333333333	3.33333333333	3.66666666667	2.33333333333	2.33333333333	3.0	2.33333333333	4.33333333333	2.33333333333	2.0	1.0	1.33333333333	1.33333333333
1971	17.6666666667	12.3333333333	6.0	4.0	3.66666666667	3.33333333333	3.33333333333	3.33333333333	3.33333333333	6.0	2.66666666667	2.33333333333	1.0	1.66666666667	1.33333333333
1972	28.0	26.6666666667	8.0	7.0	5.33333333333	7.0	4.0	4.66666666667	4.66666666667	7.33333333333	5.33333333333	4.0	1.33333333333	7.0	1.66666666667
1973	37.0	33.0	11.3333333333	8.33333333333	6.33333333333	10.0	4.33333333333	7.0	6.0	6.0	6.0	4.66666666667	1.33333333333	8.0	3.0
1974	49.0	44.3333333333	15.0	12.0	8.0	17.3333333333	6.33333333333	12.6666666667	7.33333333333	7.33333333333	10.0	6.33333333333	1.33333333333	9.33333333333	5.0
1975	62.3333333333	45.3333333333	20.0	15.6666666667	10.3333333333	23.0	7.33333333333	16.6666666667	8.66666666667	11.0	9.33333333333	8.66666666667	1.33333333333	5.33333333333	5.66666666667
1976	68.0	59.6666666667	22.3333333333	19.3333333333	10.3333333333	26.6666666667	8.33333333333	16.6666666667	10.6666666667	16.0	10.6666666667	9.0	1.33333333333	4.66666666667	5.0
1977	76.0	70.0	20.6666666667	24.0	10.6666666667	27.0	9.0	17.3333333333	9.66666666667	17.6666666667	10.0	9.66666666667	2.0	3.66666666667	3.66666666667
1978	87.0	73.3333333333	20.6666666667	27.0	9.0	28.6666666667	9.0	15.6666666667	7.66666666667	18.3333333333	11.6666666667	9.33333333333	2.33333333333	3.0	4.0
1979	100.0	72.0	20.3333333333	27.6666666667	8.66666666667	27.0	10.6666666667	20.0	4.0	15.6666666667	12.6666666667	12.0	2.33333333333	3.0	3.33333333333
1980	102.0	64.6666666667	22.6666666667	25.0	11.3333333333	26.0	11.3333333333	17.0	4.0	13.0	12.3333333333	11.3333333333	2.0	3.33333333333	3.33333333333
1981	100.333333333	62.6666666667	22.6666666667	25.0	14.0	25.0	15.0	19.3333333333	3.33333333333	10.3333333333	13.3333333333	11.0	1.33333333333	3.0	3.0
1982	95.6666666667	61.0	24.0	27.3333333333	16.3333333333	30.3333333333	15.3333333333	15.3333333333	7.33333333333	9.66666666667	11.6666666667	10.0	2.0	3.0	3.33333333333
1983	96.6666666667	65.6666666667	28.6666666667	31.6666666667	16.3333333333	33.6666666667	17.6666666667	18.3333333333	10.6666666667	11.3333333333	12.3333333333	11.3333333333	2.0	4.0	4.66666666667
