year	africa	african	kenya	indonesia	madagascar	thailand	guinea	ethiopia	tanzania	nepal	papua	indonesian	nigeria	malawi	uganda
1970	1.66666666667	1.33333333333	1.0	1.0	1.0	1.33333333333	1.0	1.0	1.33333333333	1.0	1.0	1.0	1.0	1.0	1.0
1971	1.33333333333	1.66666666667	1.0	1.0	1.0	1.33333333333	1.0	1.33333333333	1.33333333333	1.0	1.0	1.0	1.0	1.0	1.0
1972	1.66666666667	2.0	2.0	1.0	1.0	1.33333333333	1.66666666667	1.33333333333	1.33333333333	1.0	1.0	1.0	1.0	1.0	1.0
1973	2.33333333333	2.33333333333	2.66666666667	1.33333333333	1.0	1.0	2.33333333333	1.66666666667	1.0	1.33333333333	1.0	1.33333333333	1.0	1.0	1.0
1974	4.66666666667	3.0	4.0	1.66666666667	1.0	1.0	2.66666666667	1.33333333333	1.0	1.33333333333	1.0	1.66666666667	2.33333333333	1.0	1.0
1975	5.66666666667	3.66666666667	5.0	5.66666666667	1.0	2.66666666667	2.66666666667	2.0	2.0	1.33333333333	1.33333333333	1.66666666667	3.33333333333	1.0	1.0
1976	4.66666666667	4.33333333333	6.0	6.33333333333	1.0	3.33333333333	2.66666666667	1.66666666667	3.0	1.0	1.33333333333	1.33333333333	3.33333333333	1.0	1.0
1977	3.66666666667	4.66666666667	6.66666666667	7.33333333333	1.0	5.0	3.0	2.66666666667	3.66666666667	1.33333333333	2.0	1.33333333333	2.0	1.0	1.0
1978	6.33333333333	5.0	5.66666666667	4.0	1.0	3.66666666667	2.66666666667	2.33333333333	2.66666666667	1.33333333333	1.66666666667	1.66666666667	1.0	1.0	1.0
1979	7.66666666667	4.33333333333	4.33333333333	4.0	1.0	3.0	2.33333333333	2.33333333333	1.66666666667	2.0	1.66666666667	2.0	1.0	1.0	1.0
1980	8.0	4.0	3.33333333333	3.33333333333	1.0	2.33333333333	2.0	2.0	1.66666666667	1.66666666667	1.0	1.66666666667	1.0	1.0	1.0
1981	6.33333333333	5.66666666667	3.0	3.66666666667	1.33333333333	2.33333333333	1.66666666667	1.66666666667	2.33333333333	2.0	1.0	1.66666666667	2.66666666667	2.0	1.0
1982	8.66666666667	7.0	5.33333333333	3.33333333333	2.0	4.66666666667	2.0	2.0	3.0	1.33333333333	1.33333333333	1.33333333333	3.0	2.33333333333	1.33333333333
1983	10.6666666667	7.33333333333	7.0	3.66666666667	2.33333333333	4.66666666667	3.0	1.66666666667	2.33333333333	1.66666666667	2.0	1.33333333333	3.33333333333	2.66666666667	1.33333333333
1984	10.6666666667	6.66666666667	6.66666666667	3.33333333333	2.66666666667	5.0	4.0	1.66666666667	2.0	1.66666666667	2.33333333333	1.33333333333	1.66666666667	1.66666666667	1.33333333333
1985	10.6666666667	5.66666666667	5.33333333333	5.0	3.33333333333	3.66666666667	4.0	1.33333333333	2.0	2.0	2.33333333333	2.33333333333	2.33333333333	2.0	1.0
1986	8.33333333333	6.0	5.33333333333	5.33333333333	3.33333333333	3.33333333333	4.33333333333	1.66666666667	2.0	2.33333333333	3.0	2.33333333333	2.33333333333	2.0	1.0
1987	8.0	5.66666666667	6.0	6.0	4.0	4.0	4.0	2.0	2.33333333333	2.66666666667	2.66666666667	2.33333333333	2.33333333333	2.0	1.0
1988	7.66666666667	8.0	5.66666666667	4.0	2.66666666667	3.33333333333	4.33333333333	2.33333333333	1.66666666667	2.66666666667	3.33333333333	1.33333333333	1.66666666667	1.33333333333	1.0
1989	10.3333333333	10.6666666667	4.66666666667	4.66666666667	3.66666666667	3.33333333333	3.66666666667	2.0	2.0	2.33333333333	2.66666666667	2.0	2.33333333333	1.0	1.66666666667
