year	scientist	linguist	technician	expert	specialist	mathematician	chemist	physicist	biologist	naturalist
1970	9.33333333333	2.33333333333	5.33333333333	1.0	1.0	1.0	1.33333333333	1.0	1.0	1.0
1971	10.0	2.66666666667	6.33333333333	1.0	1.0	1.66666666667	1.66666666667	1.0	1.0	1.0
1972	11.0	4.66666666667	6.0	1.0	1.0	2.0	2.0	1.66666666667	1.0	1.0
1973	15.3333333333	8.66666666667	3.33333333333	1.0	5.0	2.33333333333	1.66666666667	1.66666666667	1.0	1.0
1974	34.3333333333	11.0	5.0	1.33333333333	5.66666666667	1.66666666667	2.0	1.66666666667	1.33333333333	1.0
1975	59.0	13.3333333333	7.33333333333	2.33333333333	5.66666666667	1.33333333333	1.66666666667	1.0	2.0	1.33333333333
1976	73.6666666667	12.0	12.3333333333	2.33333333333	3.0	1.33333333333	1.66666666667	1.0	2.0	1.33333333333
1977	76.6666666667	14.0	9.66666666667	2.33333333333	3.0	1.33333333333	1.33333333333	1.0	1.66666666667	1.33333333333
1978	67.0	12.0	7.0	2.66666666667	4.0	1.33333333333	2.0	1.33333333333	1.0	1.0
1979	56.6666666667	12.6666666667	6.0	3.0	2.66666666667	3.0	3.0	2.66666666667	1.66666666667	1.0
1980	51.0	10.0	6.0	2.66666666667	2.33333333333	3.0	2.66666666667	2.66666666667	1.66666666667	1.0
1981	48.3333333333	10.6666666667	5.66666666667	3.33333333333	1.33333333333	3.0	2.0	2.66666666667	1.66666666667	1.0
1982	71.0	8.66666666667	6.66666666667	5.66666666667	1.66666666667	2.0	1.0	1.66666666667	1.0	1.0
1983	72.6666666667	8.33333333333	7.33333333333	12.0	2.33333333333	2.33333333333	1.0	1.66666666667	1.0	1.33333333333
1984	75.0	7.33333333333	8.0	15.0	2.66666666667	2.66666666667	1.0	1.66666666667	1.0	2.0
1985	45.0	9.33333333333	8.33333333333	18.6666666667	3.0	1.66666666667	1.0	1.33333333333	1.33333333333	2.33333333333
1986	31.3333333333	9.66666666667	8.0	19.3333333333	2.66666666667	1.66666666667	1.0	2.0	1.33333333333	2.33333333333
1987	17.6666666667	10.3333333333	7.66666666667	22.3333333333	2.33333333333	2.0	2.33333333333	1.66666666667	1.66666666667	1.66666666667
1988	31.0	8.66666666667	2.66666666667	20.6666666667	2.33333333333	2.33333333333	2.33333333333	1.66666666667	2.0	2.0
1989	59.3333333333	7.66666666667	8.66666666667	18.0	2.0	2.66666666667	3.0	1.0	2.0	2.0
1990	88.6666666667	7.33333333333	10.0	14.0	3.33333333333	2.0	2.33333333333	1.33333333333	2.0	2.0
1991	76.6666666667	7.33333333333	12.3333333333	11.6666666667	3.33333333333	2.0	2.66666666667	1.33333333333	1.66666666667	1.66666666667
1992	50.6666666667	8.66666666667	14.6666666667	10.3333333333	3.66666666667	3.0	2.66666666667	1.33333333333	1.66666666667	1.33333333333
1993	21.3333333333	7.66666666667	16.0	7.33333333333	3.0	3.33333333333	2.0	1.33333333333	2.33333333333	1.33333333333
1994	24.3333333333	6.66666666667	16.6666666667	6.33333333333	3.0	3.66666666667	1.66666666667	1.33333333333	2.33333333333	1.33333333333
1995	30.6666666667	6.66666666667	16.6666666667	4.0	3.0	2.33333333333	1.33333333333	1.66666666667	2.66666666667	1.33333333333
1996	30.0	6.33333333333	18.6666666667	4.33333333333	3.0	2.66666666667	1.66666666667	2.0	2.0	2.33333333333
1997	26.6666666667	8.0	17.0	4.33333333333	3.0	2.33333333333	2.0	2.33333333333	1.66666666667	2.0
1998	17.3333333333	9.33333333333	12.6666666667	6.33333333333	3.0	2.33333333333	2.0	2.0	1.33333333333	2.0
1999	20.3333333333	9.66666666667	14.6666666667	5.66666666667	3.0	2.0	2.0	2.0	1.0	1.0
2000	19.6666666667	9.66666666667	16.6666666667	6.0	3.0	3.0	2.33333333333	3.33333333333	1.66666666667	1.33333333333
2001	21.0	12.0	16.0	3.66666666667	3.0	3.33333333333	2.33333333333	4.33333333333	2.33333333333	1.33333333333
2002	21.3333333333	15.6666666667	12.3333333333	3.66666666667	5.33333333333	3.33333333333	2.0	4.66666666667	2.66666666667	1.33333333333
2003	21.0	17.3333333333	15.3333333333	3.66666666667	5.0	2.66666666667	1.33333333333	4.0	2.33333333333	1.0
2004	27.3333333333	15.3333333333	13.3333333333	4.66666666667	6.0	2.33333333333	1.0	3.33333333333	2.33333333333	1.33333333333
2005	32.3333333333	14.0	13.0	6.0	3.0	4.0	1.0	3.33333333333	3.0	1.33333333333
2006	34.6666666667	13.3333333333	11.3333333333	8.0	3.33333333333	3.66666666667	1.33333333333	2.33333333333	4.33333333333	1.33333333333
2007	31.6666666667	14.6666666667	13.3333333333	7.33333333333	3.66666666667	4.0	1.66666666667	2.66666666667	4.33333333333	2.0
2008	32.3333333333	17.0	15.0	7.66666666667	4.66666666667	3.0	2.0	2.0	4.0	2.0
2009	34.6666666667	18.3333333333	12.0	5.66666666667	4.66666666667	3.33333333333	1.66666666667	3.33333333333	4.0	2.33333333333
2010	36.0	17.3333333333	11.0	6.33333333333	2.66666666667	2.66666666667	1.66666666667	4.0	3.66666666667	1.33333333333
2011	32.3333333333	14.3333333333	9.0	6.66666666667	2.0	2.33333333333	1.66666666667	4.0	3.33333333333	1.33333333333
2012	32.6666666667	13.6666666667	10.0	7.0	2.0	2.0	2.0	3.0	2.33333333333	2.0
2013	32.0	13.5	10.0	8.0	2.5	2.5	2.0	2.0	2.5	2.5
2014	35.0	15.0	11.0	7.0	3.0	2.0	2.0	2.0	3.0	4.0
