year	lake	brook	reservoir	canyon	creek	upstream	trail	downstream	pond	cave
1970	1.33333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.33333333333	1.0
1971	1.33333333333	1.33333333333	1.0	1.0	1.33333333333	1.0	1.0	1.0	1.33333333333	1.0
1972	2.0	1.66666666667	2.0	1.66666666667	1.33333333333	1.33333333333	1.0	1.0	1.33333333333	1.0
1973	3.66666666667	2.0	3.66666666667	1.66666666667	1.33333333333	2.0	1.0	1.0	1.0	1.0
1974	6.0	2.33333333333	6.0	2.0	1.66666666667	2.0	1.0	1.0	1.33333333333	1.0
1975	7.66666666667	2.33333333333	5.0	1.66666666667	1.66666666667	1.66666666667	1.33333333333	1.0	1.33333333333	1.0
1976	9.33333333333	3.33333333333	4.66666666667	1.66666666667	2.0	1.0	1.66666666667	1.0	1.33333333333	1.0
1977	11.3333333333	3.0	2.66666666667	2.33333333333	2.33333333333	1.33333333333	1.66666666667	1.0	1.0	1.0
1978	11.0	3.33333333333	3.66666666667	2.33333333333	2.33333333333	2.0	1.33333333333	1.33333333333	1.0	1.0
1979	10.0	2.66666666667	3.0	2.66666666667	2.33333333333	2.66666666667	1.33333333333	2.0	1.33333333333	1.0
1980	7.0	3.0	3.33333333333	2.66666666667	1.33333333333	2.33333333333	1.33333333333	3.0	1.33333333333	1.0
1981	6.66666666667	3.33333333333	3.66666666667	2.66666666667	2.0	1.66666666667	1.33333333333	2.66666666667	2.0	1.0
1982	5.33333333333	3.33333333333	4.0	2.33333333333	2.0	1.0	1.0	2.0	1.66666666667	1.0
1983	4.66666666667	4.0	5.33333333333	2.0	2.66666666667	1.66666666667	1.0	1.33333333333	1.66666666667	1.0
1984	5.66666666667	4.0	4.0	2.66666666667	2.33333333333	1.66666666667	1.33333333333	1.33333333333	1.66666666667	1.0
1985	6.66666666667	5.0	4.0	3.33333333333	3.0	2.0	1.66666666667	1.33333333333	1.66666666667	1.0
1986	7.66666666667	4.0	3.0	3.33333333333	3.0	1.33333333333	2.0	1.0	2.0	1.0
1987	9.0	4.0	3.66666666667	3.66666666667	3.33333333333	1.33333333333	1.66666666667	1.66666666667	2.0	1.0
1988	8.66666666667	4.0	3.66666666667	3.66666666667	3.0	1.0	1.33333333333	3.33333333333	2.0	1.0
1989	9.0	4.66666666667	3.33333333333	3.66666666667	3.33333333333	1.0	1.0	4.0	1.66666666667	1.0
1990	7.33333333333	4.66666666667	3.0	3.33333333333	2.66666666667	1.33333333333	1.0	4.33333333333	1.0	1.0
1991	8.0	4.66666666667	2.0	2.66666666667	2.33333333333	1.33333333333	1.0	2.66666666667	1.0	1.0
1992	8.0	5.66666666667	3.0	3.0	2.33333333333	1.66666666667	1.33333333333	2.0	1.66666666667	1.0
1993	10.0	5.33333333333	2.66666666667	2.33333333333	3.0	1.33333333333	1.66666666667	1.33333333333	2.33333333333	1.66666666667
1994	11.3333333333	4.0	3.33333333333	3.33333333333	3.0	1.66666666667	2.0	1.33333333333	2.33333333333	2.0
1995	16.0	4.0	2.66666666667	5.0	4.66666666667	1.66666666667	1.66666666667	2.0	1.66666666667	2.33333333333
1996	13.3333333333	3.66666666667	4.33333333333	5.0	4.66666666667	2.0	2.0	1.66666666667	2.0	2.0
1997	14.0	4.0	5.0	4.33333333333	4.66666666667	2.0	2.66666666667	2.0	3.33333333333	2.0
1998	10.3333333333	4.0	6.66666666667	3.0	2.33333333333	1.66666666667	3.0	1.33333333333	4.0	1.66666666667
1999	11.3333333333	4.33333333333	5.66666666667	3.33333333333	3.0	1.33333333333	3.0	1.66666666667	3.33333333333	1.66666666667
2000	10.3333333333	5.0	5.0	4.33333333333	3.66666666667	1.0	2.66666666667	1.66666666667	2.33333333333	1.66666666667
2001	12.6666666667	3.66666666667	3.66666666667	4.33333333333	4.0	1.0	3.33333333333	1.66666666667	2.0	2.0
2002	14.6666666667	4.0	3.66666666667	4.66666666667	5.0	1.33333333333	4.33333333333	1.33333333333	2.0	1.66666666667
2003	21.6666666667	3.33333333333	4.33333333333	4.33333333333	4.66666666667	1.66666666667	4.66666666667	1.0	2.0	2.0
2004	18.6666666667	2.66666666667	3.66666666667	3.66666666667	4.66666666667	2.0	4.66666666667	1.33333333333	1.66666666667	2.0
2005	23.3333333333	2.66666666667	4.33333333333	3.66666666667	2.66666666667	2.0	4.33333333333	2.0	1.33333333333	2.66666666667
2006	18.6666666667	3.33333333333	5.66666666667	3.66666666667	3.33333333333	2.0	3.66666666667	2.0	2.33333333333	2.33333333333
2007	25.3333333333	4.66666666667	5.66666666667	3.33333333333	2.66666666667	1.66666666667	2.66666666667	2.0	3.0	3.33333333333
2008	20.3333333333	4.33333333333	5.33333333333	3.0	3.66666666667	1.66666666667	1.66666666667	3.0	3.66666666667	3.0
2009	19.6666666667	5.0	3.66666666667	2.0	4.66666666667	2.66666666667	1.66666666667	4.0	2.33333333333	3.33333333333
2010	14.3333333333	5.0	4.0	2.0	5.33333333333	2.66666666667	1.66666666667	3.66666666667	1.66666666667	2.0
2011	14.0	5.0	5.0	5.0	4.66666666667	2.33333333333	1.66666666667	2.33333333333	1.0	1.66666666667
2012	15.3333333333	3.33333333333	7.33333333333	6.0	2.66666666667	2.66666666667	1.66666666667	2.0	1.0	1.0
2013	17.0	2.5	9.0	8.0	2.5	3.5	2.0	2.5	1.0	1.0
2014	21.0	2.0	11.0	4.0	2.0	6.0	2.0	3.0	1.0	1.0
