year	sweden	polish	switzerland	norway	poland	denmark	austria	berlin	finland	belgium	moscow	romania	norwegian	bulgaria	amsterdam
1970	1.0	2.0	1.66666666667	1.0	2.0	1.0	1.0	1.33333333333	1.0	1.0	1.66666666667	1.0	1.0	1.0	1.0
1971	1.0	3.0	1.0	1.33333333333	2.33333333333	1.0	1.0	1.0	1.33333333333	1.0	1.66666666667	1.0	1.0	1.0	1.0
1972	1.0	4.33333333333	1.0	1.33333333333	2.33333333333	1.0	1.0	1.0	1.33333333333	1.33333333333	1.0	1.0	1.0	1.0	1.0
1973	1.0	4.0	1.0	1.33333333333	2.0	2.33333333333	1.0	1.0	1.33333333333	2.0	1.66666666667	1.33333333333	1.0	1.0	1.0
1974	5.33333333333	10.0	2.33333333333	4.33333333333	7.66666666667	5.0	2.33333333333	2.66666666667	2.0	5.0	6.0	2.33333333333	1.0	1.0	4.66666666667
1975	9.66666666667	11.6666666667	5.66666666667	8.66666666667	15.3333333333	7.0	3.33333333333	4.66666666667	3.0	9.33333333333	8.0	2.33333333333	1.0	3.66666666667	5.0
1976	11.3333333333	11.6666666667	7.0	9.66666666667	18.3333333333	6.66666666667	7.33333333333	7.33333333333	4.33333333333	14.6666666667	8.66666666667	2.0	2.0	4.33333333333	6.33333333333
1977	8.33333333333	4.66666666667	8.66666666667	6.33333333333	16.3333333333	6.33333333333	7.66666666667	6.0	4.33333333333	12.6666666667	5.66666666667	1.66666666667	2.33333333333	5.0	2.66666666667
1978	4.66666666667	2.0	6.0	3.0	10.6666666667	5.33333333333	8.0	5.66666666667	3.66666666667	8.33333333333	3.66666666667	1.66666666667	2.33333333333	2.66666666667	3.0
1979	4.33333333333	1.33333333333	5.33333333333	3.0	9.33333333333	5.0	4.33333333333	3.33333333333	2.33333333333	2.33333333333	2.33333333333	2.33333333333	2.0	2.0	2.0
1980	3.66666666667	1.66666666667	2.66666666667	3.66666666667	5.33333333333	2.66666666667	2.66666666667	3.66666666667	1.33333333333	2.0	2.0	1.66666666667	1.66666666667	1.33333333333	2.33333333333
1981	5.0	1.33333333333	3.0	2.66666666667	3.0	3.0	1.66666666667	2.66666666667	1.33333333333	2.0	3.0	1.66666666667	2.0	1.33333333333	1.66666666667
1982	7.0	1.66666666667	4.0	2.33333333333	1.0	3.0	2.0	2.66666666667	2.33333333333	3.0	3.33333333333	1.33333333333	1.33333333333	1.33333333333	2.0
1983	7.33333333333	1.33333333333	4.0	4.0	1.66666666667	4.33333333333	2.0	2.66666666667	3.33333333333	3.0	2.66666666667	1.66666666667	1.66666666667	2.0	2.33333333333
1984	7.33333333333	2.0	4.0	4.33333333333	1.66666666667	3.0	3.33333333333	2.33333333333	3.0	3.33333333333	2.33333333333	2.66666666667	1.66666666667	1.66666666667	2.33333333333
1985	5.0	2.0	3.0	3.66666666667	2.33333333333	2.33333333333	3.33333333333	3.0	2.66666666667	3.33333333333	3.0	2.33333333333	2.0	2.0	1.66666666667
1986	5.33333333333	2.0	4.33333333333	2.33333333333	2.33333333333	1.0	3.66666666667	2.33333333333	2.33333333333	2.66666666667	3.0	2.0	1.66666666667	1.33333333333	1.33333333333
1987	5.0	1.66666666667	4.0	2.0	2.66666666667	1.0	2.66666666667	2.33333333333	3.66666666667	2.66666666667	2.33333333333	1.0	1.33333333333	1.33333333333	1.33333333333
1988	4.66666666667	1.33333333333	3.66666666667	3.66666666667	2.0	1.0	2.66666666667	1.66666666667	3.33333333333	1.66666666667	2.66666666667	1.0	1.0	1.33333333333	1.66666666667
1989	4.66666666667	1.66666666667	2.0	3.0	1.66666666667	1.33333333333	3.66666666667	2.33333333333	2.66666666667	1.66666666667	3.33333333333	1.0	1.33333333333	1.66666666667	2.0
