year	indian	india	pakistan	pakistani	delhi	hyderabad	karachi	calcutta	bombay
1970	3.0	1.33333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1971	4.33333333333	2.0	1.33333333333	1.33333333333	1.0	1.0	1.0	1.0	1.0
1972	7.0	3.66666666667	3.0	1.66666666667	1.0	1.0	1.0	1.33333333333	1.0
1973	9.33333333333	3.33333333333	3.66666666667	2.33333333333	1.0	1.0	1.0	1.33333333333	1.0
1974	38.0	25.6666666667	5.33333333333	2.33333333333	1.66666666667	1.0	1.0	1.33333333333	1.0
1975	70.3333333333	46.6666666667	9.0	5.0	5.33333333333	4.66666666667	1.0	9.33333333333	1.0
1976	92.0	62.3333333333	11.6666666667	6.33333333333	7.33333333333	5.0	1.0	9.66666666667	1.0
1977	90.6666666667	65.6666666667	12.3333333333	7.33333333333	9.0	5.66666666667	1.0	11.3333333333	2.66666666667
1978	100.666666667	76.3333333333	12.0	7.66666666667	10.3333333333	3.0	1.66666666667	4.66666666667	5.66666666667
1979	128.0	95.0	10.6666666667	7.33333333333	21.6666666667	5.33333333333	2.0	5.66666666667	7.33333333333
1980	154.666666667	93.0	12.3333333333	10.0	21.6666666667	5.66666666667	3.33333333333	7.66666666667	8.0
1981	150.666666667	72.0	10.3333333333	12.6666666667	21.0	5.0	2.66666666667	6.0	6.0
1982	144.0	47.6666666667	11.0	14.0	9.33333333333	2.66666666667	3.66666666667	5.0	4.66666666667
1983	113.0	31.6666666667	11.3333333333	14.6666666667	8.33333333333	2.0	3.0	1.66666666667	3.33333333333
1984	88.3333333333	29.0	11.6666666667	11.6666666667	6.0	1.66666666667	3.0	1.66666666667	2.66666666667
1985	56.3333333333	27.6666666667	10.3333333333	12.0	7.0	1.66666666667	2.0	1.33333333333	3.0
1986	53.6666666667	26.3333333333	7.33333333333	7.66666666667	6.66666666667	1.33333333333	1.33333333333	2.33333333333	2.33333333333
1987	64.6666666667	26.0	6.0	4.66666666667	7.33333333333	1.66666666667	2.0	3.0	3.0
1988	76.0	26.6666666667	6.66666666667	1.33333333333	6.0	1.66666666667	1.66666666667	3.66666666667	3.33333333333
1989	72.3333333333	24.3333333333	8.66666666667	1.0	5.66666666667	1.66666666667	2.0	2.33333333333	3.33333333333
1990	68.0	21.6666666667	8.33333333333	1.66666666667	4.66666666667	1.33333333333	2.33333333333	2.0	2.66666666667
1991	56.3333333333	16.6666666667	8.33333333333	2.0	4.33333333333	1.0	2.66666666667	1.66666666667	2.66666666667
1992	62.0	19.3333333333	8.0	2.0	5.66666666667	1.33333333333	4.0	2.0	3.66666666667
1993	54.0	18.6666666667	7.0	1.33333333333	5.33333333333	1.33333333333	3.33333333333	2.66666666667	3.33333333333
1994	48.3333333333	17.0	5.66666666667	1.0	4.33333333333	1.66666666667	3.0	2.33333333333	2.33333333333
1995	40.0	12.6666666667	4.0	1.0	3.0	1.33333333333	2.0	2.0	1.0
1996	30.0	7.66666666667	3.66666666667	1.0	1.66666666667	1.33333333333	1.66666666667	1.0	1.0
1997	26.0	9.0	4.0	1.0	2.0	1.0	1.66666666667	1.0	1.0
1998	18.0	9.66666666667	3.0	1.0	1.33333333333	1.0	1.0	1.0	1.0
1999	17.0	13.6666666667	3.33333333333	1.0	2.0	1.0	1.0	1.0	1.0
2000	16.6666666667	13.0	3.33333333333	1.0	1.66666666667	1.33333333333	1.33333333333	1.0	1.0
2001	14.0	15.6666666667	4.0	2.0	1.66666666667	1.33333333333	1.33333333333	1.0	1.0
2002	12.6666666667	14.3333333333	4.0	2.0	1.0	1.33333333333	1.33333333333	1.0	1.0
2003	14.3333333333	14.0	4.33333333333	2.0	1.33333333333	1.0	1.0	1.0	1.33333333333
2004	15.3333333333	13.0	5.0	1.0	2.0	1.33333333333	1.0	1.0	1.33333333333
2005	15.3333333333	14.0	5.0	2.0	2.0	2.0	1.33333333333	1.0	1.33333333333
2006	14.0	17.6666666667	4.0	2.0	2.0	2.0	1.33333333333	1.0	1.0
2007	14.3333333333	20.0	2.33333333333	2.0	1.33333333333	1.66666666667	1.33333333333	1.0	1.0
2008	16.6666666667	22.3333333333	3.33333333333	1.0	1.33333333333	1.33333333333	1.33333333333	1.0	1.0
2009	18.3333333333	21.0	3.66666666667	1.0	1.33333333333	1.66666666667	1.33333333333	1.0	1.0
2010	16.3333333333	21.0	3.66666666667	1.33333333333	1.33333333333	2.0	1.33333333333	1.0	1.0
2011	12.6666666667	16.6666666667	2.0	1.33333333333	1.33333333333	1.66666666667	1.0	1.0	1.0
2012	12.6666666667	14.6666666667	1.33333333333	1.33333333333	1.0	1.66666666667	1.0	1.0	1.0
2013	12.5	10.0	1.0	1.0	1.0	1.5	1.0	1.0	1.0
2014	18.0	11.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
