year	japan	china	taiwan	korea	mongolia	vietnam	seoul	korean	shanghai	taipei
1970	2.0	1.66666666667	1.66666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1971	2.0	2.0	1.66666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1972	3.0	2.66666666667	2.33333333333	1.33333333333	1.0	1.0	1.0	1.0	1.0	1.0
1973	4.0	2.66666666667	3.0	1.66666666667	1.0	1.0	1.0	1.0	1.0	1.0
1974	9.33333333333	2.66666666667	3.66666666667	2.66666666667	1.0	1.0	1.0	1.33333333333	1.0	1.0
1975	19.6666666667	6.33333333333	5.0	3.0	1.0	1.0	1.33333333333	2.0	1.0	1.0
1976	31.3333333333	10.0	5.33333333333	2.66666666667	1.0	1.0	1.33333333333	2.0	1.33333333333	1.0
1977	35.3333333333	12.0	6.0	1.66666666667	1.0	1.0	1.33333333333	1.66666666667	1.33333333333	1.0
1978	30.6666666667	13.0	4.33333333333	1.66666666667	1.0	1.0	1.0	1.0	1.66666666667	1.0
1979	24.3333333333	11.3333333333	3.33333333333	1.66666666667	1.0	1.0	1.0	1.0	1.33333333333	1.33333333333
1980	20.6666666667	14.3333333333	4.0	2.33333333333	1.0	1.0	1.0	1.0	1.66666666667	1.33333333333
1981	22.3333333333	14.0	4.33333333333	2.0	1.0	1.66666666667	1.33333333333	1.0	1.33333333333	1.66666666667
1982	28.0	17.3333333333	6.33333333333	4.66666666667	1.0	1.66666666667	1.66666666667	1.33333333333	1.33333333333	2.0
1983	32.0	20.3333333333	6.33333333333	7.0	1.0	2.0	2.66666666667	1.33333333333	2.0	4.33333333333
1984	34.3333333333	19.3333333333	7.0	9.0	1.0	1.33333333333	3.33333333333	2.0	2.0	4.66666666667
1985	28.6666666667	21.0	6.33333333333	7.33333333333	1.0	1.33333333333	3.66666666667	1.66666666667	2.0	4.33333333333
1986	29.3333333333	17.6666666667	6.33333333333	6.0	1.0	1.0	3.33333333333	1.66666666667	1.0	3.0
1987	47.0	20.3333333333	6.33333333333	6.0	1.0	1.33333333333	4.0	1.33333333333	1.0	3.0
1988	77.6666666667	17.3333333333	7.0	6.0	1.0	1.66666666667	4.66666666667	1.66666666667	1.0	3.33333333333
1989	108.666666667	17.3333333333	10.0	8.33333333333	1.33333333333	1.66666666667	5.33333333333	1.66666666667	1.0	3.0
1990	125.0	18.3333333333	14.6666666667	6.66666666667	1.33333333333	1.33333333333	4.66666666667	1.33333333333	1.0	2.66666666667
1991	93.6666666667	21.0	15.6666666667	7.33333333333	1.66666666667	1.0	3.66666666667	1.33333333333	1.33333333333	2.33333333333
1992	62.6666666667	24.0	13.6666666667	3.33333333333	2.0	1.0	2.33333333333	1.66666666667	1.33333333333	2.33333333333
1993	31.6666666667	24.6666666667	9.66666666667	4.66666666667	2.66666666667	2.0	2.33333333333	2.0	1.33333333333	2.0
1994	42.3333333333	26.3333333333	7.33333333333	3.33333333333	4.66666666667	3.0	2.33333333333	1.66666666667	1.33333333333	1.66666666667
1995	43.6666666667	25.0	6.33333333333	4.0	5.0	3.66666666667	2.66666666667	1.33333333333	1.66666666667	1.0
1996	38.3333333333	24.3333333333	4.66666666667	2.66666666667	8.33333333333	4.66666666667	2.0	1.66666666667	3.33333333333	1.0
1997	23.6666666667	22.3333333333	4.33333333333	3.33333333333	6.0	3.66666666667	2.0	1.66666666667	3.33333333333	1.33333333333
1998	15.6666666667	23.3333333333	7.33333333333	4.33333333333	5.66666666667	4.33333333333	1.66666666667	2.33333333333	3.0	1.33333333333
1999	11.3333333333	22.3333333333	10.0	4.0	2.33333333333	3.33333333333	1.66666666667	2.66666666667	1.33333333333	1.66666666667
2000	11.0	26.0	10.6666666667	4.0	3.0	3.33333333333	1.33333333333	3.0	1.33333333333	1.33333333333
2001	13.3333333333	28.3333333333	7.66666666667	3.33333333333	3.33333333333	2.33333333333	1.33333333333	3.0	1.66666666667	1.33333333333
2002	12.0	29.3333333333	7.66666666667	4.0	3.0	2.0	1.33333333333	2.33333333333	1.66666666667	1.0
2003	13.6666666667	30.6666666667	7.0	3.66666666667	2.66666666667	2.66666666667	1.33333333333	2.66666666667	2.0	1.0
2004	10.3333333333	30.3333333333	6.33333333333	3.66666666667	3.0	3.0	2.0	2.33333333333	2.0	1.0
2005	11.0	34.0	5.0	3.0	3.66666666667	3.33333333333	1.66666666667	2.0	2.33333333333	1.33333333333
2006	13.0	36.6666666667	5.0	3.0	6.66666666667	3.33333333333	1.66666666667	2.0	2.0	1.33333333333
2007	13.6666666667	43.0	6.33333333333	3.33333333333	5.33333333333	3.66666666667	1.0	2.33333333333	3.0	1.33333333333
2008	15.3333333333	47.3333333333	6.66666666667	4.66666666667	7.0	3.33333333333	1.33333333333	3.0	3.0	1.0
2009	22.0	44.6666666667	6.33333333333	5.0	4.33333333333	3.66666666667	1.33333333333	2.66666666667	3.0	1.0
2010	41.3333333333	52.0	12.6666666667	13.3333333333	5.66666666667	2.66666666667	1.66666666667	2.33333333333	2.33333333333	1.0
2011	63.0	52.6666666667	19.0	18.0	3.0	2.33333333333	2.0	1.66666666667	2.0	1.0
2012	54.6666666667	50.6666666667	20.3333333333	17.6666666667	3.0	1.33333333333	2.0	3.33333333333	2.0	1.0
2013	46.5	40.5	16.5	11.5	2.0	1.5	2.0	4.0	1.5	1.0
2014	12.0	31.0	7.0	3.0	3.0	1.0	1.0	7.0	2.0	1.0
