year	make	bring	find	turn	take	help	go	give	get	come
1970	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1971	2.33333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1972	5.66666666667	1.0	1.0	1.33333333333	1.33333333333	1.0	1.0	1.0	1.0	1.0
1973	8.66666666667	1.33333333333	1.33333333333	1.33333333333	1.33333333333	1.0	1.0	1.0	1.0	1.0
1974	10.0	1.33333333333	1.66666666667	2.0	1.33333333333	1.0	1.0	1.0	1.0	1.0
1975	9.0	1.33333333333	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
1976	9.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
1977	9.0	1.0	2.66666666667	1.33333333333	1.0	1.33333333333	1.0	1.0	1.0	1.0
1978	8.0	1.33333333333	3.0	1.0	1.0	1.33333333333	1.0	1.0	1.0	1.0
1979	7.0	1.33333333333	2.0	1.33333333333	1.0	1.66666666667	1.0	1.0	1.0	1.0
1980	7.33333333333	1.33333333333	2.33333333333	1.33333333333	1.0	1.66666666667	1.33333333333	1.0	1.0	1.0
1981	9.33333333333	1.0	2.0	1.33333333333	1.0	2.0	1.33333333333	1.0	1.0	1.0
1982	11.0	1.0	2.33333333333	1.0	1.33333333333	1.66666666667	1.33333333333	1.0	1.0	1.33333333333
1983	9.66666666667	1.0	2.0	1.0	1.33333333333	1.33333333333	1.0	1.0	1.0	1.33333333333
1984	9.0	1.0	1.66666666667	1.0	1.33333333333	1.33333333333	1.0	1.33333333333	1.0	1.33333333333
1985	9.66666666667	1.0	1.66666666667	1.0	1.33333333333	1.66666666667	1.0	1.33333333333	1.0	1.0
1986	13.0	1.33333333333	2.66666666667	1.0	1.33333333333	1.66666666667	1.0	1.33333333333	1.0	1.33333333333
1987	15.0	2.33333333333	3.0	1.33333333333	1.66666666667	1.66666666667	1.0	1.33333333333	1.0	1.33333333333
1988	13.6666666667	2.33333333333	2.33333333333	2.0	1.33333333333	1.33333333333	1.0	1.66666666667	1.0	1.33333333333
1989	14.6666666667	3.0	2.33333333333	3.0	1.66666666667	1.33333333333	1.0	1.66666666667	1.33333333333	1.66666666667
1990	14.3333333333	3.0	3.0	4.0	1.33333333333	1.33333333333	1.33333333333	1.33333333333	1.66666666667	1.66666666667
1991	14.6666666667	3.33333333333	3.66666666667	4.33333333333	1.66666666667	1.33333333333	1.33333333333	1.0	1.66666666667	2.0
1992	13.6666666667	3.0	2.66666666667	3.33333333333	1.33333333333	1.66666666667	1.33333333333	1.0	1.33333333333	1.66666666667
1993	16.3333333333	2.33333333333	3.0	2.66666666667	1.66666666667	1.66666666667	1.0	1.0	1.33333333333	2.66666666667
1994	22.3333333333	3.0	3.0	2.66666666667	1.66666666667	2.0	1.0	1.33333333333	1.66666666667	2.66666666667
1995	25.6666666667	4.0	5.33333333333	4.33333333333	1.66666666667	1.66666666667	1.33333333333	1.33333333333	2.33333333333	2.33333333333
1996	27.0	4.66666666667	4.0	4.0	1.33333333333	2.0	1.33333333333	1.66666666667	2.33333333333	1.33333333333
1997	25.0	4.66666666667	4.0	4.0	1.66666666667	2.0	1.66666666667	1.66666666667	2.0	1.0
1998	27.0	5.0	3.33333333333	3.33333333333	2.0	2.0	1.33333333333	2.0	1.66666666667	1.0
1999	27.0	6.33333333333	4.33333333333	3.0	2.33333333333	2.33333333333	2.0	2.0	1.66666666667	1.0
2000	29.0	8.66666666667	5.66666666667	2.66666666667	2.0	2.0	1.66666666667	2.66666666667	2.0	1.0
2001	28.0	10.0	5.0	2.0	1.66666666667	3.66666666667	2.0	2.66666666667	1.66666666667	1.33333333333
2002	33.0	9.33333333333	5.0	2.33333333333	1.66666666667	3.66666666667	1.66666666667	3.0	1.66666666667	1.33333333333
2003	36.6666666667	9.33333333333	4.33333333333	2.0	4.0	5.0	1.66666666667	2.66666666667	1.33333333333	1.66666666667
2004	37.6666666667	8.33333333333	6.33333333333	2.0	6.0	4.0	1.66666666667	2.33333333333	2.0	1.33333333333
2005	37.6666666667	9.33333333333	8.0	2.33333333333	7.33333333333	3.66666666667	2.66666666667	1.66666666667	1.66666666667	1.66666666667
2006	38.0	7.66666666667	8.0	4.66666666667	5.66666666667	3.33333333333	3.0	1.0	2.33333333333	2.0
2007	43.0	7.66666666667	7.66666666667	4.66666666667	5.33333333333	4.0	3.33333333333	1.33333333333	2.0	2.66666666667
2008	46.0	9.0	7.33333333333	5.66666666667	5.66666666667	4.66666666667	2.33333333333	2.33333333333	3.66666666667	3.0
2009	46.3333333333	9.33333333333	7.66666666667	3.66666666667	6.0	5.33333333333	2.0	2.66666666667	4.66666666667	3.0
2010	47.0	11.6666666667	8.0	4.33333333333	4.66666666667	5.66666666667	1.66666666667	3.0	5.0	3.0
2011	45.6666666667	12.6666666667	8.0	4.33333333333	4.0	5.33333333333	2.0	2.33333333333	4.33333333333	3.0
2012	46.6666666667	12.0	9.33333333333	3.66666666667	4.66666666667	5.66666666667	2.0	2.33333333333	3.0	2.33333333333
2013	45.5	10.5	9.0	3.5	6.0	5.5	2.0	2.0	3.0	2.0
2014	45.0	5.0	10.0	1.0	7.0	7.0	1.0	2.0	2.0	1.0
