year	state	cooper	california	washington	alaska	gordon	colorado	harmon	partnership	florida	black	carolina	virginia	arizona	michigan
1970	18.0	6.66666666667	3.66666666667	1.33333333333	1.66666666667	1.0	1.66666666667	3.66666666667	1.0	2.0	5.0	1.33333333333	1.66666666667	1.33333333333	1.33333333333
1971	26.3333333333	12.3333333333	4.66666666667	1.33333333333	2.66666666667	1.0	2.0	4.0	1.0	2.0	5.66666666667	1.33333333333	1.66666666667	1.33333333333	1.33333333333
1972	41.3333333333	17.6666666667	6.0	1.33333333333	4.0	1.0	3.0	3.0	1.0	2.33333333333	7.0	1.33333333333	2.0	2.0	2.0
1973	56.6666666667	23.3333333333	12.3333333333	5.33333333333	7.33333333333	1.0	4.66666666667	4.33333333333	1.33333333333	2.66666666667	5.0	2.33333333333	3.33333333333	3.66666666667	1.66666666667
1974	76.3333333333	26.3333333333	19.6666666667	9.66666666667	10.0	3.0	7.33333333333	9.66666666667	1.33333333333	3.33333333333	6.0	4.33333333333	5.0	4.66666666667	3.0
1975	96.3333333333	29.6666666667	29.0	14.0	13.3333333333	6.0	10.6666666667	13.6666666667	1.33333333333	6.33333333333	5.66666666667	6.33333333333	7.66666666667	6.0	6.66666666667
1976	103.666666667	30.0	37.3333333333	14.0	13.3333333333	8.66666666667	14.0	17.3333333333	1.0	9.0	5.33333333333	8.0	9.33333333333	5.66666666667	10.0
1977	100.666666667	40.3333333333	43.0	15.0	13.3333333333	11.3333333333	15.3333333333	16.6666666667	1.0	13.3333333333	5.33333333333	9.66666666667	11.0	7.0	10.6666666667
1978	88.3333333333	60.6666666667	48.3333333333	22.3333333333	12.0	12.6666666667	12.6666666667	16.0	1.0	13.0	4.66666666667	10.3333333333	10.6666666667	7.0	9.33333333333
1979	83.6666666667	79.3333333333	44.3333333333	24.0	14.0	14.3333333333	10.3333333333	15.0	1.0	11.3333333333	4.66666666667	11.3333333333	9.66666666667	6.33333333333	8.66666666667
1980	87.6666666667	95.0	44.0	23.6666666667	12.6666666667	13.6666666667	11.0	15.3333333333	1.0	9.0	4.33333333333	9.33333333333	7.66666666667	5.66666666667	8.0
1981	87.3333333333	98.6666666667	46.0	18.0	11.0	14.3333333333	13.0	14.0	1.0	10.0	4.66666666667	11.6666666667	7.66666666667	5.33333333333	8.0
1982	93.0	158.666666667	52.3333333333	21.0	10.6666666667	16.3333333333	17.0	15.0	2.0	12.0	5.0	9.66666666667	6.0	6.66666666667	9.0
1983	94.0	256.666666667	54.6666666667	23.0	13.0	17.3333333333	18.6666666667	15.3333333333	3.0	11.6666666667	5.33333333333	11.0	6.66666666667	5.66666666667	8.66666666667
1984	93.6666666667	327.0	54.6666666667	23.3333333333	15.0	17.6666666667	17.6666666667	18.3333333333	5.0	12.3333333333	6.0	8.66666666667	7.0	6.0	6.33333333333
1985	92.6666666667	339.666666667	50.0	21.3333333333	17.6666666667	15.3333333333	16.6666666667	18.0	5.0	12.6666666667	10.6666666667	9.66666666667	9.0	7.0	4.66666666667
1986	92.6666666667	306.666666667	50.0	20.3333333333	18.6666666667	16.3333333333	15.3333333333	17.3333333333	6.33333333333	13.6666666667	14.3333333333	9.66666666667	10.0	9.66666666667	5.66666666667
1987	100.666666667	309.666666667	53.0	18.0	21.6666666667	16.0	18.3333333333	18.6666666667	7.0	12.0	17.6666666667	13.0	8.33333333333	12.0	8.66666666667
1988	103.666666667	308.0	59.3333333333	19.3333333333	20.3333333333	17.0	19.6666666667	18.0	9.66666666667	14.0	15.3333333333	18.0	9.66666666667	15.0	10.3333333333
1989	118.666666667	312.666666667	61.0	22.6666666667	23.0	18.3333333333	21.6666666667	15.6666666667	12.6666666667	14.3333333333	12.6666666667	18.0	9.33333333333	15.6666666667	13.0
1990	122.333333333	310.666666667	63.3333333333	28.6666666667	25.3333333333	20.6666666667	22.6666666667	14.6666666667	16.6666666667	18.0	10.3333333333	15.6666666667	11.3333333333	16.6666666667	13.3333333333
1991	123.0	312.333333333	60.0	30.0	25.0	22.3333333333	21.0	16.3333333333	14.6666666667	14.3333333333	9.66666666667	11.0	10.6666666667	12.0	14.6666666667
1992	118.333333333	291.666666667	65.0	32.6666666667	24.6666666667	24.6666666667	21.0	20.6666666667	16.6666666667	17.0	9.33333333333	11.3333333333	12.3333333333	10.6666666667	14.3333333333
1993	131.666666667	278.333333333	62.0	29.6666666667	21.3333333333	23.6666666667	20.6666666667	19.0	16.6666666667	15.0	11.6666666667	12.6666666667	11.0	11.3333333333	14.0
