year	carbon	atom	nitrogen	oxygen	hydrogen	magma	sulfur	helium	basalt	biomass	lava	molten	ammonia	tritium	methanol
1970	4.33333333333	8.33333333333	1.33333333333	4.33333333333	4.0	1.0	2.0	3.33333333333	1.0	1.0	1.0	1.0	1.66666666667	1.0	1.0
1971	7.0	8.66666666667	2.66666666667	6.33333333333	6.66666666667	1.0	2.33333333333	4.33333333333	1.66666666667	1.0	1.0	2.33333333333	1.33333333333	1.0	1.0
1972	10.6666666667	15.6666666667	7.0	9.0	8.33333333333	1.33333333333	3.66666666667	5.66666666667	2.33333333333	1.0	1.0	2.66666666667	1.0	1.66666666667	1.0
1973	16.3333333333	26.0	14.3333333333	14.6666666667	15.3333333333	2.0	7.0	7.66666666667	3.66666666667	1.0	1.0	3.66666666667	3.33333333333	2.33333333333	1.66666666667
1974	21.0	31.3333333333	20.0	16.0	16.6666666667	3.33333333333	9.33333333333	9.33333333333	4.0	1.0	2.0	3.33333333333	4.0	3.0	3.33333333333
1975	23.6666666667	41.6666666667	24.6666666667	17.3333333333	20.0	3.66666666667	11.6666666667	11.3333333333	4.66666666667	1.33333333333	2.0	3.33333333333	5.0	4.0	3.33333333333
1976	30.3333333333	45.0	29.0	18.6666666667	18.3333333333	7.0	12.0	15.3333333333	7.0	2.33333333333	2.33333333333	3.33333333333	3.66666666667	4.33333333333	3.33333333333
1977	37.3333333333	53.6666666667	30.0	22.0	20.6666666667	8.33333333333	12.6666666667	16.3333333333	9.0	3.0	2.0	4.33333333333	3.33333333333	4.66666666667	1.66666666667
1978	42.0	50.3333333333	30.3333333333	20.3333333333	23.3333333333	10.6666666667	12.3333333333	17.6666666667	10.6666666667	4.0	2.0	5.0	3.0	4.33333333333	1.66666666667
1979	39.6666666667	51.3333333333	27.6666666667	17.0	21.6666666667	9.33333333333	12.0	15.0	10.3333333333	4.66666666667	1.66666666667	4.66666666667	2.0	3.66666666667	1.33333333333
1980	37.6666666667	49.0	26.6666666667	17.0	21.0	8.33333333333	11.6666666667	13.0	10.3333333333	5.66666666667	1.0	3.33333333333	2.33333333333	5.66666666667	1.33333333333
1981	40.0	49.6666666667	27.6666666667	16.6666666667	20.0	10.0	11.6666666667	14.3333333333	9.66666666667	7.0	2.0	3.0	2.0	4.66666666667	1.33333333333
1982	45.3333333333	52.0	31.0	22.6666666667	23.0	9.66666666667	12.6666666667	13.6666666667	9.0	9.0	3.0	2.66666666667	2.33333333333	4.66666666667	1.0
1983	49.6666666667	52.0	34.6666666667	20.3333333333	23.0	13.6666666667	12.0	11.6666666667	8.33333333333	9.0	5.33333333333	2.33333333333	3.0	3.66666666667	1.66666666667
1984	52.6666666667	52.6666666667	32.3333333333	22.3333333333	22.3333333333	10.3333333333	13.0	9.33333333333	7.33333333333	6.66666666667	5.0	2.0	3.66666666667	3.66666666667	2.33333333333
1985	52.6666666667	53.3333333333	31.6666666667	18.3333333333	20.6666666667	12.0	14.0	9.0	6.33333333333	3.66666666667	5.33333333333	2.0	3.66666666667	4.0	2.33333333333
1986	49.0	54.6666666667	28.6666666667	20.6666666667	21.3333333333	12.3333333333	14.3333333333	11.6666666667	5.66666666667	2.66666666667	4.66666666667	1.66666666667	3.0	2.66666666667	2.33333333333
1987	51.3333333333	56.0	28.0	21.3333333333	18.6666666667	15.3333333333	14.6666666667	12.0	7.33333333333	4.33333333333	5.33333333333	2.0	3.0	2.66666666667	3.33333333333
1988	52.0	54.6666666667	24.3333333333	23.6666666667	19.0	18.0	14.3333333333	11.0	9.0	4.66666666667	5.66666666667	3.0	3.33333333333	2.33333333333	3.33333333333
1989	59.6666666667	59.6666666667	29.6666666667	23.3333333333	19.0	17.6666666667	13.6666666667	12.6666666667	9.66666666667	6.0	6.66666666667	4.66666666667	3.33333333333	2.33333333333	3.0
1990	60.3333333333	62.0	29.0	25.0	21.0	17.3333333333	13.3333333333	12.3333333333	11.6666666667	5.0	5.66666666667	4.66666666667	2.66666666667	3.0	1.66666666667
1991	64.3333333333	62.3333333333	24.6666666667	21.0	20.6666666667	13.3333333333	13.3333333333	11.6666666667	11.3333333333	4.33333333333	4.0	4.66666666667	2.0	2.66666666667	1.66666666667
1992	69.3333333333	63.0	18.6666666667	21.6666666667	21.3333333333	11.3333333333	13.0	9.33333333333	12.3333333333	4.33333333333	2.33333333333	5.0	1.66666666667	2.66666666667	1.66666666667
1993	67.3333333333	62.6666666667	21.0	21.6666666667	20.0	12.0	13.3333333333	8.66666666667	12.0	4.33333333333	2.66666666667	6.33333333333	1.66666666667	2.0	2.66666666667
1994	71.6666666667	60.0	26.0	26.3333333333	18.6666666667	12.3333333333	12.3333333333	9.33333333333	12.6666666667	5.33333333333	4.0	6.66666666667	2.66666666667	2.66666666667	4.0
1995	77.6666666667	57.3333333333	26.0	25.6666666667	17.6666666667	14.0	13.6666666667	8.33333333333	11.0	4.66666666667	4.0	6.33333333333	2.66666666667	2.0	4.66666666667
1996	89.3333333333	60.0	24.3333333333	22.0	17.6666666667	13.6666666667	11.6666666667	7.0	9.0	4.0	4.66666666667	4.33333333333	3.33333333333	1.66666666667	4.33333333333
1997	91.3333333333	56.3333333333	25.0	20.6666666667	18.3333333333	14.0	10.3333333333	8.66666666667	7.33333333333	5.66666666667	4.33333333333	3.66666666667	2.33333333333	2.33333333333	4.0
1998	90.0	50.3333333333	28.3333333333	22.6666666667	20.6666666667	14.6666666667	10.0	10.6666666667	9.0	6.0	4.66666666667	2.33333333333	2.33333333333	2.33333333333	3.0
1999	93.6666666667	45.6666666667	30.3333333333	27.6666666667	21.0	18.3333333333	11.3333333333	9.33333333333	9.0	7.0	5.33333333333	3.33333333333	2.0	2.33333333333	2.0
2000	112.333333333	51.6666666667	31.3333333333	27.3333333333	22.3333333333	19.6666666667	13.3333333333	8.0	11.0	4.66666666667	5.0	4.33333333333	2.66666666667	1.33333333333	1.0
2001	123.0	59.3333333333	30.3333333333	24.3333333333	20.6666666667	16.6666666667	13.3333333333	7.33333333333	8.66666666667	4.66666666667	5.66666666667	5.66666666667	3.33333333333	1.33333333333	1.33333333333
2002	126.666666667	59.0	32.6666666667	23.0	25.6666666667	22.3333333333	14.6666666667	7.0	9.0	5.0	5.33333333333	5.0	3.33333333333	1.33333333333	1.33333333333
2003	115.666666667	59.3333333333	29.3333333333	22.3333333333	26.0	26.0	12.6666666667	6.66666666667	10.3333333333	7.0	6.0	4.0	2.66666666667	1.0	2.0
2004	119.666666667	51.0	33.3333333333	22.6666666667	28.6666666667	30.0	14.3333333333	6.66666666667	12.6666666667	6.33333333333	5.66666666667	3.33333333333	2.33333333333	1.0	1.66666666667
2005	139.666666667	56.3333333333	31.0	24.0	26.6666666667	18.3333333333	12.3333333333	9.33333333333	10.6666666667	7.66666666667	5.66666666667	4.66666666667	1.66666666667	1.0	2.33333333333
2006	147.333333333	56.6666666667	37.3333333333	24.3333333333	35.3333333333	15.0	14.3333333333	10.3333333333	7.0	8.33333333333	5.33333333333	3.66666666667	2.33333333333	1.0	2.0
2007	166.333333333	63.3333333333	47.3333333333	26.6666666667	35.0	18.3333333333	13.6666666667	9.66666666667	7.33333333333	15.0	4.0	3.0	2.0	1.0	2.66666666667
2008	153.333333333	60.6666666667	50.6666666667	29.0	33.6666666667	23.6666666667	16.3333333333	8.66666666667	7.33333333333	18.0	3.33333333333	1.66666666667	2.33333333333	1.33333333333	3.33333333333
2009	166.666666667	60.6666666667	48.0	32.3333333333	27.6666666667	22.6666666667	16.3333333333	7.33333333333	6.66666666667	19.6666666667	3.0	2.0	2.33333333333	1.66666666667	3.33333333333
2010	146.0	56.0	31.6666666667	31.6666666667	27.3333333333	17.3333333333	17.6666666667	7.0	5.66666666667	20.0	3.33333333333	2.0	3.66666666667	2.0	3.0
2011	141.333333333	51.3333333333	33.3333333333	33.0	28.3333333333	14.6666666667	14.3333333333	6.66666666667	7.0	23.6666666667	2.66666666667	3.33333333333	4.33333333333	2.0	2.66666666667
2012	116.333333333	57.0	34.3333333333	37.6666666667	28.0	16.0	16.3333333333	6.33333333333	8.0	22.6666666667	3.0	5.0	4.33333333333	1.66666666667	4.33333333333
2013	109.0	61.5	40.5	43.0	27.5	16.0	15.0	6.0	7.5	21.5	3.0	6.5	3.5	1.5	5.5
2014	96.0	74.0	37.0	45.0	28.0	17.0	21.0	6.0	7.0	13.0	4.0	7.0	3.0	1.0	7.0
