year	mexico	brazil	chile	argentina	puerto	costa	spain	mexican	bolivia	guatemala	colombia	brazilian	ecuador	peruvian	venezuela
1970	3.33333333333	1.33333333333	1.0	1.33333333333	1.0	1.0	1.0	1.33333333333	1.0	1.0	1.33333333333	1.33333333333	1.0	1.0	1.0
1971	5.0	1.66666666667	1.0	1.33333333333	1.0	1.0	1.33333333333	1.33333333333	1.0	1.33333333333	1.66666666667	1.33333333333	1.33333333333	1.33333333333	1.33333333333
1972	7.0	2.0	1.33333333333	1.33333333333	1.0	1.66666666667	2.0	1.33333333333	1.0	2.0	2.0	1.33333333333	1.33333333333	1.33333333333	1.33333333333
1973	10.3333333333	3.33333333333	1.66666666667	1.0	1.66666666667	1.66666666667	2.33333333333	1.66666666667	1.0	2.66666666667	1.66666666667	1.0	1.33333333333	1.33333333333	1.33333333333
1974	11.0	3.0	4.33333333333	1.0	2.66666666667	2.66666666667	2.66666666667	3.0	1.33333333333	3.0	2.66666666667	1.33333333333	2.33333333333	1.0	1.66666666667
1975	13.0	5.0	5.33333333333	1.66666666667	2.66666666667	3.66666666667	3.33333333333	3.33333333333	1.33333333333	3.33333333333	5.0	2.0	2.33333333333	1.33333333333	2.0
1976	15.6666666667	5.66666666667	7.66666666667	2.0	2.66666666667	5.0	4.66666666667	3.66666666667	2.0	3.33333333333	5.66666666667	2.0	2.66666666667	1.66666666667	3.0
1977	20.6666666667	7.0	7.33333333333	2.33333333333	2.66666666667	5.33333333333	4.33333333333	3.0	1.66666666667	3.66666666667	4.66666666667	1.66666666667	1.33333333333	2.66666666667	3.33333333333
1978	24.0	5.66666666667	7.0	2.33333333333	3.33333333333	4.33333333333	3.33333333333	4.66666666667	1.66666666667	3.33333333333	3.33333333333	1.0	1.66666666667	2.66666666667	3.66666666667
1979	25.3333333333	4.0	5.66666666667	2.33333333333	3.0	4.0	1.66666666667	4.0	1.0	3.0	3.33333333333	1.33333333333	1.33333333333	2.66666666667	3.33333333333
1980	23.6666666667	4.33333333333	4.66666666667	4.33333333333	2.66666666667	3.66666666667	2.0	3.33333333333	2.0	2.66666666667	3.33333333333	1.66666666667	2.33333333333	1.66666666667	2.66666666667
1981	20.6666666667	5.0	6.0	4.33333333333	2.66666666667	6.0	2.33333333333	2.66666666667	2.33333333333	2.0	2.33333333333	2.33333333333	2.66666666667	1.66666666667	4.0
1982	22.0	8.66666666667	10.0	7.0	3.66666666667	5.66666666667	2.66666666667	2.33333333333	4.66666666667	2.0	2.0	2.66666666667	3.0	2.0	5.0
