year	ecosystem	forest	habitat	wetland	grassland	lowland	rainforest	woodland	riparian	savanna	upland
1970	8.0	2.66666666667	1.33333333333	1.33333333333	1.66666666667	1.33333333333	1.0	1.0	1.0	1.0	1.0
1971	8.66666666667	2.33333333333	1.33333333333	1.66666666667	1.66666666667	1.33333333333	1.0	1.0	1.0	1.0	1.0
1972	14.6666666667	3.66666666667	1.0	2.0	2.0	1.33333333333	1.0	2.0	1.0	1.0	1.0
1973	20.0	7.0	2.33333333333	2.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0
1974	34.3333333333	9.0	4.66666666667	2.33333333333	3.33333333333	2.0	1.0	2.33333333333	1.0	1.0	1.0
1975	39.3333333333	13.6666666667	5.33333333333	2.66666666667	3.66666666667	2.33333333333	1.0	1.33333333333	1.0	1.0	1.0
1976	56.0	16.3333333333	5.0	4.66666666667	3.33333333333	2.33333333333	1.0	1.33333333333	1.0	1.33333333333	1.0
1977	50.3333333333	19.3333333333	4.33333333333	5.33333333333	2.66666666667	2.66666666667	1.33333333333	1.33333333333	1.0	1.33333333333	1.0
1978	45.3333333333	22.3333333333	4.66666666667	5.33333333333	2.66666666667	2.33333333333	1.66666666667	1.33333333333	1.33333333333	1.33333333333	1.0
1979	30.0	21.0	5.33333333333	3.33333333333	2.66666666667	2.0	1.66666666667	1.33333333333	1.66666666667	1.0	1.0
1980	24.6666666667	19.0	5.33333333333	2.0	2.66666666667	1.33333333333	1.66666666667	1.66666666667	1.66666666667	1.0	1.0
1981	29.3333333333	18.3333333333	7.0	2.66666666667	2.33333333333	2.0	1.33333333333	1.66666666667	1.66666666667	1.33333333333	1.0
1982	31.0	21.6666666667	6.66666666667	3.0	2.66666666667	3.0	1.66666666667	2.33333333333	1.33333333333	1.66666666667	1.0
1983	40.0	24.3333333333	10.6666666667	3.66666666667	4.0	4.0	1.66666666667	1.66666666667	1.66666666667	1.66666666667	1.33333333333
1984	38.3333333333	23.3333333333	8.66666666667	2.66666666667	5.0	4.0	2.66666666667	2.0	1.33333333333	2.0	1.33333333333
1985	36.6666666667	24.0	10.6666666667	2.0	4.33333333333	3.33333333333	2.66666666667	1.66666666667	2.0	1.66666666667	1.33333333333
1986	33.3333333333	25.3333333333	8.0	2.66666666667	3.66666666667	3.0	2.33333333333	2.0	2.66666666667	1.66666666667	1.0
1987	34.0	24.0	9.0	2.66666666667	3.0	2.33333333333	1.66666666667	2.66666666667	3.0	1.0	1.0
1988	33.3333333333	26.6666666667	8.0	2.66666666667	3.66666666667	2.66666666667	3.0	2.33333333333	3.0	1.0	1.33333333333
1989	35.6666666667	29.3333333333	7.33333333333	2.33333333333	4.0	2.66666666667	5.66666666667	2.66666666667	2.66666666667	1.33333333333	1.33333333333
1990	33.6666666667	34.0	8.0	4.0	4.66666666667	3.66666666667	5.66666666667	2.66666666667	2.33333333333	2.0	2.0
1991	41.6666666667	34.6666666667	7.66666666667	6.0	4.66666666667	3.33333333333	5.0	2.66666666667	2.0	2.33333333333	1.66666666667
1992	42.6666666667	36.6666666667	7.66666666667	8.0	4.66666666667	3.0	3.33333333333	4.0	1.66666666667	2.33333333333	1.66666666667
1993	51.3333333333	37.6666666667	9.0	7.66666666667	5.33333333333	2.66666666667	3.33333333333	4.0	2.33333333333	2.0	1.0
1994	56.3333333333	40.0	11.3333333333	8.33333333333	5.66666666667	4.33333333333	4.0	5.0	2.33333333333	2.0	1.33333333333
