year	calcium	boron	filament	sodium	lithium	gallium	potassium	germanium	molybdenum	selenium	tungsten	magnesium	barium	cadmium	vanadium
1970	1.0	1.33333333333	1.66666666667	1.33333333333	1.0	1.0	1.66666666667	1.33333333333	1.33333333333	1.0	1.0	1.0	1.66666666667	1.66666666667	1.66666666667
1971	1.66666666667	1.66666666667	2.0	2.0	1.0	1.0	1.66666666667	1.33333333333	1.33333333333	1.33333333333	1.0	1.0	1.66666666667	2.0	1.66666666667
1972	3.33333333333	2.0	2.66666666667	2.66666666667	1.33333333333	1.33333333333	1.33333333333	2.33333333333	1.66666666667	1.33333333333	1.0	2.0	2.0	2.66666666667	2.0
1973	5.0	3.33333333333	2.0	3.0	2.0	1.66666666667	1.66666666667	3.0	1.33333333333	1.66666666667	1.0	2.0	2.33333333333	2.66666666667	2.0
1974	7.33333333333	4.33333333333	2.0	2.66666666667	2.66666666667	2.66666666667	2.33333333333	3.0	2.0	1.33333333333	1.33333333333	2.33333333333	2.66666666667	2.33333333333	2.66666666667
1975	8.33333333333	5.33333333333	2.66666666667	4.0	2.66666666667	3.0	2.66666666667	2.66666666667	2.0	2.0	1.33333333333	2.0	3.0	2.33333333333	3.33333333333
1976	9.0	5.0	3.66666666667	4.33333333333	2.33333333333	2.66666666667	3.33333333333	3.33333333333	2.33333333333	2.0	2.33333333333	2.33333333333	2.66666666667	2.66666666667	3.0
1977	10.3333333333	3.33333333333	4.0	3.66666666667	2.0	2.66666666667	3.0	3.0	2.66666666667	2.33333333333	2.33333333333	2.33333333333	2.33333333333	3.0	3.33333333333
1978	10.6666666667	2.66666666667	4.0	4.0	1.66666666667	3.0	2.33333333333	3.0	3.33333333333	3.33333333333	2.33333333333	2.0	1.66666666667	2.0	2.33333333333
1979	10.3333333333	3.33333333333	3.0	4.0	1.33333333333	3.66666666667	1.66666666667	3.0	4.0	3.66666666667	2.0	2.33333333333	1.33333333333	1.66666666667	2.0
1980	7.33333333333	3.66666666667	2.66666666667	5.66666666667	2.0	3.33333333333	2.0	3.66666666667	3.66666666667	3.33333333333	2.33333333333	2.66666666667	2.0	1.66666666667	1.0
1981	5.66666666667	4.0	2.0	4.66666666667	2.66666666667	4.0	3.66666666667	3.0	3.33333333333	2.66666666667	3.0	2.33333333333	2.0	2.66666666667	1.0
1982	6.33333333333	4.0	2.33333333333	6.0	3.66666666667	4.0	4.33333333333	2.33333333333	4.0	2.0	2.66666666667	1.66666666667	1.66666666667	2.33333333333	1.0
1983	11.6666666667	4.0	3.33333333333	5.66666666667	3.33333333333	3.66666666667	4.33333333333	2.0	3.66666666667	2.0	2.66666666667	1.33333333333	1.0	2.0	1.66666666667
1984	13.6666666667	3.0	3.33333333333	4.66666666667	3.0	2.33333333333	2.66666666667	2.66666666667	4.66666666667	1.66666666667	2.33333333333	1.33333333333	1.0	1.0	1.66666666667
1985	14.3333333333	3.0	4.0	4.66666666667	4.0	3.33333333333	3.0	3.0	4.33333333333	3.0	3.33333333333	2.0	1.0	2.0	1.66666666667
1986	12.0	4.0	4.33333333333	4.33333333333	4.33333333333	3.66666666667	3.0	3.0	4.66666666667	3.0	3.0	2.0	1.33333333333	2.66666666667	1.33333333333
1987	12.3333333333	5.66666666667	4.66666666667	5.33333333333	5.0	4.0	3.0	2.66666666667	3.0	2.33333333333	3.33333333333	2.0	1.66666666667	2.66666666667	1.66666666667
1988	13.0	5.66666666667	3.66666666667	4.33333333333	3.33333333333	3.0	2.33333333333	3.0	3.33333333333	1.66666666667	2.33333333333	1.66666666667	2.33333333333	1.66666666667	2.33333333333
1989	11.0	6.33333333333	4.0	5.33333333333	3.66666666667	4.33333333333	2.66666666667	4.0	3.33333333333	1.66666666667	3.33333333333	1.33333333333	2.33333333333	1.0	2.66666666667
1990	10.0	7.0	4.0	5.0	3.0	6.66666666667	3.66666666667	4.66666666667	4.33333333333	2.33333333333	2.66666666667	2.0	2.33333333333	1.0	2.66666666667
1991	8.66666666667	7.0	5.33333333333	5.33333333333	3.0	7.66666666667	3.66666666667	4.33333333333	3.33333333333	3.0	2.33333333333	1.66666666667	2.66666666667	1.33333333333	2.66666666667
1992	10.3333333333	6.66666666667	6.66666666667	4.66666666667	2.0	7.66666666667	3.66666666667	3.66666666667	2.66666666667	3.0	1.66666666667	2.33333333333	3.66666666667	1.66666666667	2.0
1993	12.0	6.0	7.33333333333	6.33333333333	2.33333333333	6.33333333333	3.0	3.0	2.33333333333	3.33333333333	3.66666666667	2.0	4.0	2.0	1.66666666667
